precision,recall,f1,hub_recovery,kendall_tau,N,T,T_N,trial,dgp,method
0.109375,0.15555555555555556,0.12844036697247707,0.4,0.2178958862593617,30,60,2.0,0,VAR1,OLS
0.2,0.044444444444444446,0.07272727272727272,0.2,0.1877389188190458,30,60,2.0,0,VAR1,LASSO
0.15517241379310345,0.10344827586206896,0.12413793103448276,0.2,0.18287163924984548,30,60,2.0,0,VAR2,OLS
0.3333333333333333,0.011494252873563218,0.022222222222222223,0.4,0.10511766624552735,30,60,2.0,0,VAR2,LASSO
0.15,0.2,0.17142857142857143,0.4,-0.13728064274337262,30,60,2.0,1,VAR1,OLS
0.2857142857142857,0.08888888888888889,0.13559322033898305,0.4,-0.05291653814398084,30,60,2.0,1,VAR1,LASSO
0.1388888888888889,0.056179775280898875,0.08,0.2,0.07898789790081104,30,60,2.0,1,VAR2,OLS
0.2,0.011235955056179775,0.02127659574468085,0.2,-0.02533538006430885,30,60,2.0,1,VAR2,LASSO
0.13333333333333333,0.17777777777777778,0.1523809523809524,0.4,0.005891175927298003,30,60,2.0,2,VAR1,OLS
0.23076923076923078,0.06666666666666667,0.10344827586206896,0.0,-0.276353356369766,30,60,2.0,2,VAR1,LASSO
0.15,0.06818181818181818,0.09375,0.2,0.006236433460585114,30,60,2.0,2,VAR2,OLS
0.0,0.0,0.0,0.2,0.10454167469786334,30,60,2.0,2,VAR2,LASSO
0.125,0.2,0.15384615384615385,0.2,-0.05323161137715511,30,60,2.0,3,VAR1,OLS
0.25,0.06666666666666667,0.10526315789473684,0.6,0.20496959156165012,30,60,2.0,3,VAR1,LASSO
0.13953488372093023,0.06818181818181818,0.0916030534351145,0.4,0.18353158194239186,30,60,2.0,3,VAR2,OLS
0.2222222222222222,0.022727272727272728,0.041237113402061855,0.2,-0.04030423611722287,30,60,2.0,3,VAR2,LASSO
0.10606060606060606,0.15555555555555556,0.12612612612612611,0.2,0.11489587605310432,30,60,2.0,4,VAR1,OLS
0.18181818181818182,0.044444444444444446,0.07142857142857142,0.0,0.0682302944184305,30,60,2.0,4,VAR1,LASSO
0.15384615384615385,0.06741573033707865,0.09375,0.0,-0.21601547348334044,30,60,2.0,4,VAR2,OLS
0.0,0.0,0.0,0.2,0.0488054953743351,30,60,2.0,4,VAR2,LASSO
0.1346153846153846,0.15555555555555556,0.14432989690721648,0.2,0.10945789161032057,30,60,2.0,5,VAR1,OLS
0.07142857142857142,0.022222222222222223,0.03389830508474576,0.4,0.03387218671613154,30,60,2.0,5,VAR1,LASSO
0.1836734693877551,0.10344827586206896,0.1323529411764706,0.4,0.24341030805241176,30,60,2.0,5,VAR2,OLS
0.3333333333333333,0.022988505747126436,0.043010752688172046,0.0,-0.20277358949630941,30,60,2.0,5,VAR2,LASSO
0.13333333333333333,0.2222222222222222,0.16666666666666666,0.2,0.1025054620612764,30,60,2.0,6,VAR1,OLS
0.14285714285714285,0.044444444444444446,0.06779661016949153,0.2,-0.10475509389039593,30,60,2.0,6,VAR1,LASSO
0.1111111111111111,0.056179775280898875,0.07462686567164178,0.2,-0.06482577893386114,30,60,2.0,6,VAR2,OLS
0.4,0.02247191011235955,0.0425531914893617,0.4,0.23213087621200273,30,60,2.0,6,VAR2,LASSO
0.12962962962962962,0.15555555555555556,0.1414141414141414,0.4,0.0664764872683282,30,60,2.0,7,VAR1,OLS
0.2857142857142857,0.044444444444444446,0.07692307692307693,0.2,-0.1273740788604522,30,60,2.0,7,VAR1,LASSO
0.21428571428571427,0.10344827586206896,0.13953488372093023,0.4,0.03661260129691063,30,60,2.0,7,VAR2,OLS
0.3333333333333333,0.022988505747126436,0.043010752688172046,0.6,0.3451869153856651,30,60,2.0,7,VAR2,LASSO
0.21428571428571427,0.6666666666666666,0.32432432432432434,0.0,0.07996083733715874,30,250,8.33,0,VAR1,OLS
0.8571428571428571,0.5333333333333333,0.6575342465753424,0.6,0.5410200575789245,30,250,8.33,0,VAR1,LASSO
0.28846153846153844,0.17045454545454544,0.21428571428571427,0.4,0.281837356696615,30,250,8.33,0,VAR2,OLS
0.3333333333333333,0.011363636363636364,0.02197802197802198,0.0,-0.157676499368291,30,250,8.33,0,VAR2,LASSO
0.1566265060240964,0.5777777777777777,0.24644549763033174,0.4,0.15555665498748236,30,250,8.33,1,VAR1,OLS
0.5833333333333334,0.4666666666666667,0.5185185185185185,0.4,0.31712623391786093,30,250,8.33,1,VAR1,LASSO
0.375,0.20224719101123595,0.26277372262773724,0.4,0.1516075120128754,30,250,8.33,1,VAR2,OLS
0.6666666666666666,0.02247191011235955,0.043478260869565216,0.2,0.0463996223086116,30,250,8.33,1,VAR2,LASSO
0.21,0.4666666666666667,0.2896551724137931,0.4,0.19936899765134017,30,250,8.33,2,VAR1,OLS
0.6111111111111112,0.24444444444444444,0.3492063492063492,0.4,0.22293226590317267,30,250,8.33,2,VAR1,LASSO
0.1282051282051282,0.05747126436781609,0.07936507936507936,0.0,0.05400692051020203,30,250,8.33,2,VAR2,OLS
0.0,0.0,0.0,0.2,0.060205046330894844,30,250,8.33,2,VAR2,LASSO
0.24,0.6666666666666666,0.35294117647058826,0.4,0.19412934103977608,30,250,8.33,3,VAR1,OLS
0.6,0.4,0.48,0.2,0.18688926398867087,30,250,8.33,3,VAR1,LASSO
0.18604651162790697,0.09195402298850575,0.12307692307692308,0.4,0.042178050852051466,30,250,8.33,3,VAR2,OLS
0.0,0.0,0.0,0.0,,30,250,8.33,3,VAR2,LASSO
0.20430107526881722,0.4222222222222222,0.2753623188405797,0.6,0.3838363638673464,30,250,8.33,4,VAR1,OLS
0.8235294117647058,0.3111111111111111,0.45161290322580644,0.4,0.28595369651767966,30,250,8.33,4,VAR1,LASSO
0.32142857142857145,0.20454545454545456,0.25,0.4,0.23025372304044947,30,250,8.33,4,VAR2,OLS
0.5,0.022727272727272728,0.043478260869565216,0.2,0.0821215013898086,30,250,8.33,4,VAR2,LASSO
0.17355371900826447,0.4666666666666667,0.25301204819277107,0.4,0.28571428571428575,30,250,8.33,5,VAR1,OLS
0.55,0.24444444444444444,0.3384615384615385,0.2,0.24089813452905687,30,250,8.33,5,VAR1,LASSO
0.3023255813953488,0.14444444444444443,0.19548872180451127,0.0,-0.06143503170063081,30,250,8.33,5,VAR2,OLS
0.4,0.022222222222222223,0.042105263157894736,0.0,-0.16877060313785835,30,250,8.33,5,VAR2,LASSO
