dgp,N,T,T_N,trial,method,precision,recall,f1,hub_recovery,net_density
gaussian,20,12,0.6,27,OLS,0.08333333333333333,0.15,0.10714285714285714,0.2,0.09473684210526316
gaussian,20,12,0.6,27,LASSO,0.0,0.0,0.0,0.2,0.018421052631578946
gaussian,20,12,0.6,28,OLS,0.07692307692307693,0.15,0.1016949152542373,0.4,0.10263157894736842
gaussian,20,12,0.6,28,LASSO,0.05555555555555555,0.05,0.05263157894736842,0.4,0.04736842105263158
gaussian,20,12,0.6,29,OLS,0.03125,0.05,0.038461538461538464,0.0,0.08421052631578947
gaussian,20,12,0.6,29,LASSO,0.07142857142857142,0.05,0.058823529411764705,0.0,0.03684210526315789
gaussian,20,12,0.6,30,OLS,0.03333333333333333,0.05,0.04,0.2,0.07894736842105263
gaussian,20,12,0.6,30,LASSO,0.09090909090909091,0.05,0.06451612903225806,0.2,0.02894736842105263
gaussian,20,12,0.6,31,OLS,0.038461538461538464,0.05,0.043478260869565216,0.4,0.06842105263157895
gaussian,20,12,0.6,31,LASSO,0.0,0.0,0.0,0.4,0.05263157894736842
gaussian,20,12,0.6,32,OLS,0.0,0.0,0.0,0.2,0.04736842105263158
gaussian,20,12,0.6,32,LASSO,0.0,0.0,0.0,0.0,0.02631578947368421
gaussian,20,12,0.6,33,OLS,0.07894736842105263,0.15,0.10344827586206896,0.4,0.1
gaussian,20,12,0.6,33,LASSO,0.07142857142857142,0.05,0.058823529411764705,0.4,0.03684210526315789
gaussian,20,12,0.6,34,OLS,0.0,0.0,0.0,0.0,0.07894736842105263
gaussian,20,12,0.6,34,LASSO,0.0,0.0,0.0,0.2,0.042105263157894736
gaussian,20,12,0.6,35,OLS,0.12,0.15,0.13333333333333333,0.4,0.06578947368421052
gaussian,20,12,0.6,35,LASSO,0.08333333333333333,0.05,0.0625,0.6,0.031578947368421054
gaussian,20,12,0.6,36,OLS,0.07142857142857142,0.1,0.08333333333333333,0.4,0.07368421052631578
gaussian,20,12,0.6,36,LASSO,0.1111111111111111,0.1,0.10526315789473684,0.2,0.04736842105263158
gaussian,20,12,0.6,37,OLS,0.11764705882352941,0.2,0.14814814814814814,0.2,0.08947368421052632
gaussian,20,12,0.6,37,LASSO,0.0,0.0,0.0,0.0,0.018421052631578946
gaussian,20,12,0.6,38,OLS,0.047619047619047616,0.05,0.04878048780487805,0.4,0.05526315789473684
gaussian,20,12,0.6,38,LASSO,0.0625,0.05,0.05555555555555555,0.4,0.042105263157894736
gaussian,20,12,0.6,39,OLS,0.12121212121212122,0.2,0.1509433962264151,0.2,0.0868421052631579
gaussian,20,12,0.6,39,LASSO,0.0,0.0,0.0,0.2,0.04473684210526316
gaussian,20,12,0.6,40,OLS,0.08333333333333333,0.15,0.10714285714285714,0.2,0.09473684210526316
gaussian,20,12,0.6,40,LASSO,0.0,0.0,0.0,0.2,0.042105263157894736
gaussian,20,12,0.6,41,OLS,0.11538461538461539,0.15,0.13043478260869565,0.2,0.06842105263157895
gaussian,20,12,0.6,41,LASSO,0.2222222222222222,0.1,0.13793103448275862,0.2,0.02368421052631579
gaussian,20,12,0.6,42,OLS,0.03333333333333333,0.05,0.04,0.2,0.07894736842105263
gaussian,20,12,0.6,42,LASSO,0.0,0.0,0.0,0.0,0.031578947368421054
gaussian,20,12,0.6,43,OLS,0.0425531914893617,0.1,0.05970149253731343,0.4,0.12368421052631579
gaussian,20,12,0.6,43,LASSO,0.0,0.0,0.0,0.2,0.05
gaussian,20,12,0.6,44,OLS,0.03571428571428571,0.05,0.041666666666666664,0.2,0.07368421052631578
gaussian,20,12,0.6,44,LASSO,0.125,0.05,0.07142857142857142,0.0,0.021052631578947368
gaussian,20,12,0.6,45,OLS,0.03571428571428571,0.05,0.041666666666666664,0.6,0.07368421052631578
gaussian,20,12,0.6,45,LASSO,0.0,0.0,0.0,0.4,0.018421052631578946
gaussian,20,12,0.6,46,OLS,0.07142857142857142,0.1,0.08333333333333333,0.2,0.07368421052631578
gaussian,20,12,0.6,46,LASSO,0.1111111111111111,0.05,0.06896551724137931,0.0,0.02368421052631579
gaussian,20,12,0.6,47,OLS,0.12121212121212122,0.2,0.1509433962264151,0.4,0.0868421052631579
gaussian,20,12,0.6,47,LASSO,0.09090909090909091,0.1,0.09523809523809523,0.4,0.05789473684210526
gaussian,20,12,0.6,48,OLS,0.029411764705882353,0.05,0.037037037037037035,0.2,0.08947368421052632
gaussian,20,12,0.6,48,LASSO,0.15384615384615385,0.1,0.12121212121212122,0.4,0.034210526315789476
gaussian,20,12,0.6,49,OLS,0.125,0.25,0.16666666666666666,0.4,0.10526315789473684
gaussian,20,12,0.6,49,LASSO,0.1,0.1,0.1,0.2,0.05263157894736842
gaussian,20,12,0.6,50,OLS,0.03333333333333333,0.05,0.04,0.6,0.07894736842105263
gaussian,20,12,0.6,50,LASSO,0.125,0.05,0.07142857142857142,0.2,0.021052631578947368
gaussian,20,12,0.6,51,OLS,0.0,0.0,0.0,0.2,0.09473684210526316
gaussian,20,12,0.6,51,LASSO,0.0,0.0,0.0,0.2,0.042105263157894736
gaussian,20,12,0.6,52,OLS,0.15,0.15,0.15,0.2,0.05263157894736842
gaussian,20,12,0.6,52,LASSO,0.0,0.0,0.0,0.4,0.02894736842105263
