method,f1,precision,recall,hub_recovery,density_pred,N,T,trial,T_N_ratio,dgp
OLS-TE,0.2268041237113402,0.16730038022813687,0.352,0.0,0.1073469387755102,50,120,4,2.4,garch_only
LASSO-TE,0.08823529411764706,0.5454545454545454,0.048,0.0,0.004489795918367347,50,120,0,2.4,factor_only
OLS-TE,0.1352112676056338,0.10434782608695652,0.192,0.2,0.09387755102040816,50,120,0,2.4,factor_only
LASSO-TE,0.014814814814814815,0.1,0.008,0.2,0.004081632653061225,50,120,1,2.4,factor_only
OLS-TE,0.1440443213296399,0.11016949152542373,0.208,0.0,0.0963265306122449,50,120,1,2.4,factor_only
LASSO-TE,0.05755395683453238,0.2857142857142857,0.032,0.2,0.005714285714285714,50,120,2,2.4,factor_only
OLS-TE,0.1596244131455399,0.11295681063122924,0.272,0.2,0.12285714285714286,50,120,2,2.4,factor_only
LASSO-TE,0.015267175572519083,0.16666666666666666,0.008,0.0,0.0024489795918367346,50,120,3,2.4,factor_only
OLS-TE,0.10126582278481013,0.08376963350785341,0.128,0.0,0.07795918367346939,50,120,3,2.4,factor_only
LASSO-TE,0.0,0.0,0.0,0.0,0.004081632653061225,50,120,4,2.4,factor_only
OLS-TE,0.13071895424836602,0.11049723756906077,0.16,0.4,0.07387755102040816,50,120,4,2.4,factor_only
LASSO-TE,0.14965986394557823,0.5,0.088,0.0,0.008979591836734694,50,120,0,2.4,garch_factor
OLS-TE,0.1853932584269663,0.14285714285714285,0.264,0.2,0.09428571428571429,50,120,0,2.4,garch_factor
LASSO-TE,0.1456953642384106,0.4230769230769231,0.088,0.2,0.010612244897959184,50,120,1,2.4,garch_factor
OLS-TE,0.20095693779904306,0.14334470989761092,0.336,0.2,0.11959183673469388,50,120,1,2.4,garch_factor
LASSO-TE,0.20270270270270271,0.6521739130434783,0.12,0.2,0.009387755102040816,50,120,2,2.4,garch_factor
OLS-TE,0.2554347826086957,0.1934156378600823,0.376,0.0,0.09918367346938775,50,120,2,2.4,garch_factor
LASSO-TE,0.1111111111111111,0.42105263157894735,0.064,0.0,0.007755102040816327,50,120,3,2.4,garch_factor
OLS-TE,0.19937694704049844,0.16326530612244897,0.256,0.2,0.08,50,120,3,2.4,garch_factor
LASSO-TE,0.11188811188811189,0.4444444444444444,0.064,0.0,0.007346938775510204,50,120,4,2.4,garch_factor
OLS-TE,0.24788732394366197,0.19130434782608696,0.352,0.0,0.09387755102040816,50,120,4,2.4,garch_factor
LASSO-TE,0.13333333333333333,0.9,0.072,0.2,0.004081632653061225,50,250,0,5.0,gaussian
OLS-TE,0.32525951557093424,0.2865853658536585,0.376,0.0,0.06693877551020408,50,250,0,5.0,gaussian
LASSO-TE,0.21428571428571427,1.0,0.12,0.2,0.006122448979591836,50,250,1,5.0,gaussian
OLS-TE,0.3490909090909091,0.32,0.384,0.2,0.061224489795918366,50,250,1,5.0,gaussian
LASSO-TE,0.1044776119402985,0.7777777777777778,0.056,0.0,0.003673469387755102,50,250,2,5.0,gaussian
OLS-TE,0.2837370242214533,0.25,0.328,0.2,0.06693877551020408,50,250,2,5.0,gaussian
LASSO-TE,0.11764705882352941,0.7272727272727273,0.064,0.2,0.004489795918367347,50,250,3,5.0,gaussian
OLS-TE,0.311787072243346,0.2971014492753623,0.328,0.0,0.0563265306122449,50,250,3,5.0,gaussian
LASSO-TE,0.04580152671755725,0.5,0.024,0.4,0.0024489795918367346,50,250,4,5.0,gaussian
OLS-TE,0.34507042253521125,0.3081761006289308,0.392,0.4,0.06489795918367347,50,250,4,5.0,gaussian
LASSO-TE,0.4342857142857143,0.76,0.304,0.6,0.02040816326530612,50,250,0,5.0,garch_only
OLS-TE,0.22580645161290322,0.1414141414141414,0.56,0.4,0.20204081632653062,50,250,0,5.0,garch_only
LASSO-TE,0.35,0.8,0.224,0.4,0.014285714285714285,50,250,1,5.0,garch_only
OLS-TE,0.26634382566585957,0.1909722222222222,0.44,0.2,0.11755102040816326,50,250,1,5.0,garch_only
LASSO-TE,0.34355828220858897,0.7368421052631579,0.224,0.0,0.015510204081632653,50,250,2,5.0,garch_only
OLS-TE,0.25523012552301255,0.17280453257790368,0.488,0.4,0.14408163265306123,50,250,2,5.0,garch_only
LASSO-TE,0.39263803680981596,0.8421052631578947,0.256,0.6,0.015510204081632653,50,250,3,5.0,garch_only
OLS-TE,0.24455611390284757,0.15466101694915255,0.584,0.0,0.1926530612244898,50,250,3,5.0,garch_only
LASSO-TE,0.43373493975903615,0.8780487804878049,0.288,0.0,0.01673469387755102,50,250,4,5.0,garch_only
OLS-TE,0.2591792656587473,0.17751479289940827,0.48,0.0,0.13795918367346938,50,250,4,5.0,garch_only
LASSO-TE,0.1044776119402985,0.7777777777777778,0.056,0.0,0.003673469387755102,50,250,0,5.0,factor_only
OLS-TE,0.1803921568627451,0.11948051948051948,0.368,0.0,0.15714285714285714,50,250,0,5.0,factor_only
LASSO-TE,0.043795620437956206,0.25,0.024,0.6,0.004897959183673469,50,250,1,5.0,factor_only
OLS-TE,0.16399286987522282,0.10550458715596331,0.368,0.6,0.17795918367346938,50,250,1,5.0,factor_only
LASSO-TE,0.08695652173913043,0.46153846153846156,0.048,0.2,0.005306122448979592,50,250,2,5.0,factor_only
OLS-TE,0.17582417582417584,0.109375,0.448,0.4,0.2089795918367347,50,250,2,5.0,factor_only
LASSO-TE,0.13986013986013987,0.5555555555555556,0.08,0.4,0.007346938775510204,50,250,3,5.0,factor_only
OLS-TE,0.16236162361623616,0.10551558752997602,0.352,0.0,0.17020408163265305,50,250,3,5.0,factor_only
LASSO-TE,0.07142857142857142,0.3333333333333333,0.04,0.2,0.006122448979591836,50,250,4,5.0,factor_only
OLS-TE,0.1409090909090909,0.09841269841269841,0.248,0.2,0.12857142857142856,50,250,4,5.0,factor_only
LASSO-TE,0.38323353293413176,0.7619047619047619,0.256,0.2,0.017142857142857144,50,250,0,5.0,garch_factor
OLS-TE,0.21224489795918366,0.14246575342465753,0.416,0.6,0.1489795918367347,50,250,0,5.0,garch_factor
LASSO-TE,0.3375,0.7714285714285715,0.216,0.2,0.014285714285714285,50,250,1,5.0,garch_factor
OLS-TE,0.2641509433962264,0.18729096989966554,0.448,0.4,0.12204081632653062,50,250,1,5.0,garch_factor
LASSO-TE,0.3125,0.7142857142857143,0.2,0.4,0.014285714285714285,50,250,2,5.0,garch_factor
OLS-TE,0.26582278481012656,0.18051575931232092,0.504,0.4,0.14244897959183672,50,250,2,5.0,garch_factor
LASSO-TE,0.4093567251461988,0.7608695652173914,0.28,0.2,0.018775510204081632,50,250,3,5.0,garch_factor
OLS-TE,0.22423146473779385,0.14485981308411214,0.496,0.2,0.17469387755102042,50,250,3,5.0,garch_factor
LASSO-TE,0.3,0.6857142857142857,0.192,0.2,0.014285714285714285,50,250,4,5.0,garch_factor
OLS-TE,0.2661290322580645,0.1778975741239892,0.528,0.0,0.15142857142857144,50,250,4,5.0,garch_factor
LASSO-TE,0.2127659574468085,0.9375,0.12,0.0,0.006530612244897959,50,500,0,10.0,gaussian
OLS-TE,0.45714285714285713,0.37894736842105264,0.576,0.4,0.07755102040816327,50,500,0,10.0,gaussian
LASSO-TE,0.16176470588235295,1.0,0.088,0.2,0.004489795918367347,50,500,1,10.0,gaussian
OLS-TE,0.4968944099378882,0.40609137055837563,0.64,0.0,0.08040816326530613,50,500,1,10.0,gaussian
LASSO-TE,0.2876712328767123,1.0,0.168,0.0,0.008571428571428572,50,500,2,10.0,gaussian
OLS-TE,0.5286624203821656,0.43915343915343913,0.664,0.0,0.07714285714285714,50,500,2,10.0,gaussian
LASSO-TE,0.24489795918367346,0.8181818181818182,0.144,0.0,0.008979591836734694,50,500,3,10.0,gaussian
OLS-TE,0.45454545454545453,0.3825136612021858,0.56,0.4,0.0746938775510204,50,500,3,10.0,gaussian
LASSO-TE,0.22377622377622378,0.8888888888888888,0.128,0.2,0.007346938775510204,50,500,4,10.0,gaussian
OLS-TE,0.4807692307692308,0.40106951871657753,0.6,0.2,0.0763265306122449,50,500,4,10.0,gaussian
LASSO-TE,0.5151515151515151,0.6986301369863014,0.408,0.0,0.02979591836734694,50,500,0,10.0,garch_only
OLS-TE,0.15267175572519084,0.0866738894907909,0.64,0.0,0.37673469387755104,50,500,0,10.0,garch_only
LASSO-TE,0.4421052631578947,0.6461538461538462,0.336,0.4,0.026530612244897958,50,500,1,10.0,garch_only
OLS-TE,0.20871862615587847,0.125,0.632,0.2,0.25795918367346937,50,500,1,10.0,garch_only
LASSO-TE,0.5786802030456852,0.7916666666666666,0.456,0.0,0.029387755102040815,50,500,2,10.0,garch_only
OLS-TE,0.18818380743982493,0.10899873257287707,0.688,0.2,0.3220408163265306,50,500,2,10.0,garch_only
LASSO-TE,0.5425531914893617,0.8095238095238095,0.408,0.4,0.025714285714285714,50,500,3,10.0,garch_only
OLS-TE,0.20196353436185133,0.12244897959183673,0.576,0.2,0.24,50,500,3,10.0,garch_only
LASSO-TE,0.6528497409326425,0.9264705882352942,0.504,0.6,0.027755102040816326,50,500,4,10.0,garch_only
OLS-TE,0.2103825136612022,0.12685337726523888,0.616,0.0,0.24775510204081633,50,500,4,10.0,garch_only
LASSO-TE,0.20270270270270271,0.6521739130434783,0.12,0.2,0.009387755102040816,50,500,0,10.0,factor_only
OLS-TE,0.19672131147540983,0.12087912087912088,0.528,0.0,0.22285714285714286,50,500,0,10.0,factor_only
LASSO-TE,0.15942028985507245,0.8461538461538461,0.088,0.0,0.005306122448979592,50,500,1,10.0,factor_only
OLS-TE,0.1882716049382716,0.11663479923518165,0.488,0.4,0.21346938775510205,50,500,1,10.0,factor_only
LASSO-TE,0.19047619047619047,0.6363636363636364,0.112,0.2,0.008979591836734694,50,500,2,10.0,factor_only
OLS-TE,0.23546944858420268,0.1446886446886447,0.632,0.4,0.22285714285714286,50,500,2,10.0,factor_only
LASSO-TE,0.09929078014184398,0.4375,0.056,0.2,0.006530612244897959,50,500,3,10.0,factor_only
OLS-TE,0.19452054794520549,0.11735537190082644,0.568,0.0,0.24693877551020407,50,500,3,10.0,factor_only
LASSO-TE,0.14184397163120568,0.625,0.08,0.0,0.006530612244897959,50,500,4,10.0,factor_only
OLS-TE,0.17423312883435582,0.10289855072463767,0.568,0.0,0.2816326530612245,50,500,4,10.0,factor_only
LASSO-TE,0.6137566137566137,0.90625,0.464,0.6,0.026122448979591838,50,500,0,10.0,garch_factor
OLS-TE,0.19768934531450577,0.11773700305810397,0.616,0.0,0.26693877551020406,50,500,0,10.0,garch_factor
LASSO-TE,0.5550239234449761,0.6904761904761905,0.464,0.2,0.03428571428571429,50,500,1,10.0,garch_factor
OLS-TE,0.17713004484304934,0.10299869621903521,0.632,0.2,0.3130612244897959,50,500,1,10.0,garch_factor
LASSO-TE,0.5668449197860963,0.8548387096774194,0.424,0.4,0.025306122448979593,50,500,2,10.0,garch_factor
OLS-TE,0.19430051813471502,0.11591962905718702,0.6,0.0,0.2640816326530612,50,500,2,10.0,garch_factor
LASSO-TE,0.5306122448979592,0.7323943661971831,0.416,0.4,0.028979591836734694,50,500,3,10.0,garch_factor
OLS-TE,0.20933521923620935,0.12714776632302405,0.592,0.0,0.23755102040816325,50,500,3,10.0,garch_factor
LASSO-TE,0.6231155778894473,0.8378378378378378,0.496,0.6,0.030204081632653063,50,500,4,10.0,garch_factor
OLS-TE,0.19732034104750304,0.11637931034482758,0.648,0.4,0.28408163265306124,50,500,4,10.0,garch_factor
LASSO-TE,0.007827788649706457,0.18181818181818182,0.004,0.0,0.0011111111111111111,100,60,0,0.6,gaussian
OLS-TE,0.09441233140655106,0.09107806691449814,0.098,0.0,0.054343434343434346,100,60,0,0.6,gaussian
LASSO-TE,0.007874015748031496,0.25,0.004,0.2,0.0008080808080808081,100,60,1,0.6,gaussian
OLS-TE,0.10361681329423265,0.10133843212237094,0.106,0.0,0.05282828282828283,100,60,1,0.6,gaussian
LASSO-TE,0.007782101167315175,0.14285714285714285,0.004,0.2,0.0014141414141414141,100,60,2,0.6,gaussian
OLS-TE,0.11822660098522167,0.11650485436893204,0.12,0.0,0.05202020202020202,100,60,2,0.6,gaussian
LASSO-TE,0.011627906976744186,0.1875,0.006,0.2,0.0016161616161616162,100,60,3,0.6,gaussian
OLS-TE,0.10976744186046512,0.10260869565217391,0.118,0.0,0.05808080808080808,100,60,3,0.6,gaussian
LASSO-TE,0.007766990291262136,0.13333333333333333,0.004,0.0,0.0015151515151515152,100,60,4,0.6,gaussian
OLS-TE,0.11275964391691394,0.11154598825831702,0.114,0.2,0.051616161616161615,100,60,4,0.6,gaussian
LASSO-TE,0.041353383458646614,0.34375,0.022,0.0,0.0032323232323232323,100,60,0,0.6,garch_only
OLS-TE,0.14499252615844543,0.11575178997613365,0.194,0.0,0.08464646464646465,100,60,0,0.6,garch_only
LASSO-TE,0.06049149338374291,0.5517241379310345,0.032,0.0,0.0029292929292929295,100,60,1,0.6,garch_only
OLS-TE,0.18037518037518038,0.14108352144469527,0.25,0.4,0.08949494949494949,100,60,1,0.6,garch_only
LASSO-TE,0.06779661016949153,0.5806451612903226,0.036,0.2,0.0031313131313131315,100,60,2,0.6,garch_only
OLS-TE,0.15168539325842698,0.11688311688311688,0.216,0.2,0.09333333333333334,100,60,2,0.6,garch_only
LASSO-TE,0.049429657794676805,0.5,0.026,0.0,0.0026262626262626263,100,60,3,0.6,garch_only
OLS-TE,0.13039934800325997,0.11004126547455295,0.16,0.2,0.07343434343434344,100,60,3,0.6,garch_only
LASSO-TE,0.07850467289719626,0.6,0.042,0.0,0.0035353535353535356,100,60,4,0.6,garch_only
OLS-TE,0.15930485155684287,0.12485811577752554,0.22,0.0,0.088989898989899,100,60,4,0.6,garch_only
LASSO-TE,0.019083969465648856,0.20833333333333334,0.01,0.2,0.0024242424242424242,100,60,0,0.6,factor_only
OLS-TE,0.10903873744619799,0.08501118568232663,0.152,0.2,0.0903030303030303,100,60,0,0.6,factor_only
LASSO-TE,0.007782101167315175,0.14285714285714285,0.004,0.0,0.0014141414141414141,100,60,1,0.6,factor_only
OLS-TE,0.11023622047244094,0.09090909090909091,0.14,0.0,0.07777777777777778,100,60,1,0.6,factor_only
LASSO-TE,0.015503875968992248,0.25,0.008,0.0,0.0016161616161616162,100,60,2,0.6,factor_only
OLS-TE,0.12320916905444126,0.09598214285714286,0.172,0.2,0.0905050505050505,100,60,2,0.6,factor_only
LASSO-TE,0.007722007722007722,0.1111111111111111,0.004,0.0,0.0018181818181818182,100,60,3,0.6,factor_only
OLS-TE,0.11376858435681965,0.08404966571155682,0.176,0.2,0.10575757575757576,100,60,3,0.6,factor_only
LASSO-TE,0.007633587786259542,0.08333333333333333,0.004,0.0,0.0024242424242424242,100,60,4,0.6,factor_only
OLS-TE,0.1043360433604336,0.07889344262295082,0.154,0.0,0.09858585858585858,100,60,4,0.6,factor_only
LASSO-TE,0.030592734225621414,0.34782608695652173,0.016,0.0,0.0023232323232323234,100,60,0,0.6,garch_factor
OLS-TE,0.14562354763749033,0.11883691529709228,0.188,0.0,0.0798989898989899,100,60,0,0.6,garch_factor
LASSO-TE,0.074487895716946,0.5405405405405406,0.04,0.2,0.0037373737373737376,100,60,1,0.6,garch_factor
OLS-TE,0.16718266253869968,0.13636363636363635,0.216,0.0,0.08,100,60,1,0.6,garch_factor
LASSO-TE,0.04206500956022945,0.4782608695652174,0.022,0.0,0.0023232323232323234,100,60,2,0.6,garch_factor
OLS-TE,0.1290824261275272,0.10559796437659033,0.166,0.0,0.07939393939393939,100,60,2,0.6,garch_factor
LASSO-TE,0.01937984496124031,0.3125,0.01,0.0,0.0016161616161616162,100,60,3,0.6,garch_factor
OLS-TE,0.14401294498381878,0.12092391304347826,0.178,0.0,0.07434343434343435,100,60,3,0.6,garch_factor
LASSO-TE,0.03468208092485549,0.47368421052631576,0.018,0.2,0.0019191919191919192,100,60,4,0.6,garch_factor
OLS-TE,0.1287820015515904,0.10519645120405577,0.166,0.0,0.0796969696969697,100,60,4,0.6,garch_factor
LASSO-TE,0.007858546168958742,0.2222222222222222,0.004,0.0,0.0009090909090909091,100,120,0,1.2,gaussian
OLS-TE,0.17685794920037629,0.1669626998223801,0.188,0.2,0.05686868686868687,100,120,0,1.2,gaussian
LASSO-TE,0.007858546168958742,0.2222222222222222,0.004,0.0,0.0009090909090909091,100,120,1,1.2,gaussian
OLS-TE,0.19092627599243855,0.18100358422939067,0.202,0.0,0.056363636363636366,100,120,1,1.2,gaussian
LASSO-TE,0.04222648752399232,0.5238095238095238,0.022,0.0,0.0021212121212121214,100,120,2,1.2,gaussian
OLS-TE,0.20243673851921273,0.19047619047619047,0.216,0.2,0.057272727272727274,100,120,2,1.2,gaussian
LASSO-TE,0.03468208092485549,0.47368421052631576,0.018,0.0,0.0019191919191919192,100,120,3,1.2,gaussian
OLS-TE,0.18762088974854932,0.18164794007490637,0.194,0.2,0.05393939393939394,100,120,3,1.2,gaussian
LASSO-TE,0.023391812865497075,0.46153846153846156,0.012,0.2,0.0013131313131313131,100,120,4,1.2,gaussian
OLS-TE,0.1889763779527559,0.18604651162790697,0.192,0.0,0.052121212121212124,100,120,4,1.2,gaussian
LASSO-TE,0.12222222222222222,0.825,0.066,0.2,0.00404040404040404,100,120,0,1.2,garch_only
OLS-TE,0.2039972432804962,0.15562565720294427,0.296,0.0,0.09606060606060605,100,120,0,1.2,garch_only
LASSO-TE,0.10018552875695733,0.6923076923076923,0.054,0.0,0.00393939393939394,100,120,1,1.2,garch_only
OLS-TE,0.22593068035943517,0.166351606805293,0.352,0.0,0.10686868686868686,100,120,1,1.2,garch_only
LASSO-TE,0.12154696132596685,0.7674418604651163,0.066,0.2,0.004343434343434344,100,120,2,1.2,garch_only
OLS-TE,0.19304152637485972,0.13416536661466458,0.344,0.2,0.1294949494949495,100,120,2,1.2,garch_only
LASSO-TE,0.12222222222222222,0.825,0.066,0.2,0.00404040404040404,100,120,3,1.2,garch_only
OLS-TE,0.2091346153846154,0.14948453608247422,0.348,0.0,0.11757575757575757,100,120,3,1.2,garch_only
LASSO-TE,0.13978494623655913,0.6724137931034483,0.078,0.0,0.005858585858585859,100,120,4,1.2,garch_only
OLS-TE,0.1906779661016949,0.12968299711815562,0.36,0.0,0.1402020202020202,100,120,4,1.2,garch_only
LASSO-TE,0.023622047244094488,0.75,0.012,0.0,0.0008080808080808081,100,120,0,1.2,factor_only
OLS-TE,0.12795549374130738,0.08328304164152082,0.276,0.0,0.16737373737373737,100,120,0,1.2,factor_only
LASSO-TE,0.05660377358490566,0.5,0.03,0.0,0.0030303030303030303,100,120,1,1.2,factor_only
OLS-TE,0.15305539691604797,0.10711430855315747,0.268,0.0,0.12636363636363637,100,120,1,1.2,factor_only
LASSO-TE,0.015267175572519083,0.16666666666666666,0.008,0.0,0.0024242424242424242,100,120,2,1.2,factor_only
OLS-TE,0.13081650570676032,0.08380202474690664,0.298,0.0,0.1795959595959596,100,120,2,1.2,factor_only
LASSO-TE,0.01953125,0.4166666666666667,0.01,0.0,0.0012121212121212121,100,120,3,1.2,factor_only
OLS-TE,0.13801035077630822,0.09685230024213075,0.24,0.0,0.12515151515151515,100,120,3,1.2,factor_only
LASSO-TE,0.019305019305019305,0.2777777777777778,0.01,0.2,0.0018181818181818182,100,120,4,1.2,factor_only
OLS-TE,0.13855421686746988,0.09249329758713137,0.276,0.0,0.1507070707070707,100,120,4,1.2,factor_only
LASSO-TE,0.1213235294117647,0.75,0.066,0.0,0.0044444444444444444,100,120,0,1.2,garch_factor
OLS-TE,0.2018348623853211,0.15009746588693956,0.308,0.2,0.10363636363636364,100,120,0,1.2,garch_factor
LASSO-TE,0.074487895716946,0.5405405405405406,0.04,0.0,0.0037373737373737376,100,120,1,1.2,garch_factor
OLS-TE,0.21100917431192662,0.15692007797270954,0.322,0.2,0.10363636363636364,100,120,1,1.2,garch_factor
LASSO-TE,0.1588447653429603,0.8148148148148148,0.088,0.2,0.005454545454545455,100,120,2,1.2,garch_factor
OLS-TE,0.17747077577045697,0.12083936324167872,0.334,0.2,0.1395959595959596,100,120,2,1.2,garch_factor
LASSO-TE,0.12867647058823528,0.7954545454545454,0.07,0.2,0.0044444444444444444,100,120,3,1.2,garch_factor
OLS-TE,0.22074468085106383,0.16533864541832669,0.332,0.0,0.10141414141414141,100,120,3,1.2,garch_factor
LASSO-TE,0.12773722627737227,0.7291666666666666,0.07,0.2,0.0048484848484848485,100,120,4,1.2,garch_factor
OLS-TE,0.19588202559821927,0.13569776407093292,0.352,0.0,0.13101010101010102,100,120,4,1.2,garch_factor
LASSO-TE,0.07662835249042145,0.9090909090909091,0.04,0.0,0.0022222222222222222,100,250,0,2.5,gaussian
OLS-TE,0.32239925023430177,0.30335097001763667,0.344,0.2,0.057272727272727274,100,250,0,2.5,gaussian
LASSO-TE,0.06165703275529865,0.8421052631578947,0.032,0.2,0.0019191919191919192,100,250,1,2.5,gaussian
OLS-TE,0.31569817866435385,0.2787136294027565,0.364,0.2,0.06595959595959595,100,250,1,2.5,gaussian
LASSO-TE,0.05394990366088632,0.7368421052631579,0.028,0.2,0.0019191919191919192,100,250,2,2.5,gaussian
OLS-TE,0.327693677649154,0.2953451043338684,0.368,0.2,0.06292929292929293,100,250,2,2.5,gaussian
LASSO-TE,0.02734375,0.5833333333333334,0.014,0.0,0.0012121212121212121,100,250,3,2.5,gaussian
OLS-TE,0.3286467486818981,0.29310344827586204,0.374,0.4,0.06444444444444444,100,250,3,2.5,gaussian
LASSO-TE,0.09073724007561437,0.8275862068965517,0.048,0.0,0.0029292929292929295,100,250,4,2.5,gaussian
OLS-TE,0.2950530035335689,0.26424050632911394,0.334,0.0,0.06383838383838383,100,250,4,2.5,gaussian
LASSO-TE,0.29541595925297115,0.9775280898876404,0.174,0.2,0.00898989898989899,100,250,0,2.5,garch_only
OLS-TE,0.21483146067415732,0.13855072463768117,0.478,0.2,0.17424242424242425,100,250,0,2.5,garch_only
LASSO-TE,0.24870466321243523,0.9113924050632911,0.144,0.0,0.00797979797979798,100,250,1,2.5,garch_only
OLS-TE,0.24512256128064033,0.16344229486324216,0.49,0.2,0.15141414141414142,100,250,1,2.5,garch_only
LASSO-TE,0.31438127090301005,0.9591836734693877,0.188,0.0,0.009898989898989899,100,250,2,2.5,garch_only
OLS-TE,0.21037735849056605,0.13765432098765432,0.446,0.0,0.16363636363636364,100,250,2,2.5,garch_only
LASSO-TE,0.24738675958188153,0.9594594594594594,0.142,0.2,0.007474747474747475,100,250,3,2.5,garch_only
OLS-TE,0.21727019498607242,0.1414752116082225,0.468,0.2,0.16707070707070706,100,250,3,2.5,garch_only
LASSO-TE,0.3305785123966942,0.9523809523809523,0.2,0.0,0.010606060606060607,100,250,4,2.5,garch_only
OLS-TE,0.2152777777777778,0.13747228381374724,0.496,0.0,0.18222222222222223,100,250,4,2.5,garch_only
LASSO-TE,0.03428571428571429,0.36,0.018,0.0,0.0025252525252525255,100,250,0,2.5,factor_only
OLS-TE,0.14853924674410418,0.09013242204186245,0.422,0.2,0.23646464646464646,100,250,0,2.5,factor_only
LASSO-TE,0.0425531914893617,0.6470588235294118,0.022,0.2,0.0017171717171717172,100,250,1,2.5,factor_only
OLS-TE,0.14688427299703263,0.09016393442622951,0.396,0.2,0.22181818181818183,100,250,1,2.5,factor_only
LASSO-TE,0.019455252918287938,0.35714285714285715,0.01,0.0,0.0014141414141414141,100,250,2,2.5,factor_only
OLS-TE,0.14269005847953217,0.08861985472154964,0.366,0.2,0.2085858585858586,100,250,2,2.5,factor_only
LASSO-TE,0.041666666666666664,0.39285714285714285,0.022,0.0,0.0028282828282828283,100,250,3,2.5,factor_only
OLS-TE,0.14871236851650343,0.09082853345148427,0.41,0.2,0.22797979797979798,100,250,3,2.5,factor_only
LASSO-TE,0.045368620037807186,0.41379310344827586,0.024,0.0,0.0029292929292929295,100,250,4,2.5,factor_only
OLS-TE,0.14518413597733712,0.08820998278829605,0.41,0.0,0.23474747474747476,100,250,4,2.5,factor_only
LASSO-TE,0.2525597269624573,0.8604651162790697,0.148,0.2,0.008686868686868687,100,250,0,2.5,garch_factor
OLS-TE,0.20852641334569044,0.13570566948130278,0.45,0.2,0.16747474747474747,100,250,0,2.5,garch_factor
LASSO-TE,0.2517241379310345,0.9125,0.146,0.4,0.00808080808080808,100,250,1,2.5,garch_factor
OLS-TE,0.2300981461286805,0.15817091454272864,0.422,0.0,0.13474747474747475,100,250,1,2.5,garch_factor
LASSO-TE,0.33223684210526316,0.9351851851851852,0.202,0.2,0.01090909090909091,100,250,2,2.5,garch_factor
OLS-TE,0.24975798644724104,0.16475095785440613,0.516,0.2,0.15818181818181817,100,250,2,2.5,garch_factor
LASSO-TE,0.2627986348122867,0.8953488372093024,0.154,0.2,0.008686868686868687,100,250,3,2.5,garch_factor
OLS-TE,0.26778711484593837,0.1859922178988327,0.478,0.0,0.1297979797979798,100,250,3,2.5,garch_factor
LASSO-TE,0.3250414593698176,0.9514563106796117,0.196,0.2,0.010404040404040403,100,250,4,2.5,garch_factor
OLS-TE,0.21224489795918366,0.13333333333333333,0.52,0.2,0.19696969696969696,100,250,4,2.5,garch_factor
LASSO-TE,0.13382899628252787,0.9473684210526315,0.072,0.0,0.0038383838383838384,100,500,0,5.0,gaussian
OLS-TE,0.4491114701130856,0.37669376693766937,0.556,0.2,0.07454545454545454,100,500,0,5.0,gaussian
LASSO-TE,0.14760147601476015,0.9523809523809523,0.08,0.0,0.004242424242424243,100,500,1,5.0,gaussian
OLS-TE,0.44983818770226536,0.37771739130434784,0.556,0.2,0.07434343434343435,100,500,1,5.0,gaussian
LASSO-TE,0.13011152416356878,0.9210526315789473,0.07,0.2,0.0038383838383838384,100,500,2,5.0,gaussian
OLS-TE,0.47571189279731996,0.4092219020172911,0.568,0.2,0.0701010101010101,100,500,2,5.0,gaussian
LASSO-TE,0.14100185528756956,0.9743589743589743,0.076,0.2,0.00393939393939394,100,500,3,5.0,gaussian
OLS-TE,0.4520654715510522,0.37037037037037035,0.58,0.2,0.07909090909090909,100,500,3,5.0,gaussian
LASSO-TE,0.15129151291512916,0.9761904761904762,0.082,0.0,0.004242424242424243,100,500,4,5.0,gaussian
OLS-TE,0.4873015873015873,0.4039473684210526,0.614,0.0,0.07676767676767676,100,500,4,5.0,gaussian
LASSO-TE,0.5658263305322129,0.9439252336448598,0.404,0.0,0.021616161616161617,100,500,0,5.0,garch_only
OLS-TE,0.17364939360529216,0.10070332480818414,0.63,0.0,0.31595959595959594,100,500,0,5.0,garch_only
LASSO-TE,0.5404624277456648,0.9739583333333334,0.374,0.0,0.019393939393939394,100,500,1,5.0,garch_only
OLS-TE,0.21943348870562926,0.13368283093053734,0.612,0.0,0.2312121212121212,100,500,1,5.0,garch_only
LASSO-TE,0.5180897250361794,0.93717277486911,0.358,0.0,0.019292929292929292,100,500,2,5.0,garch_only
OLS-TE,0.17732637935767226,0.10276805599745466,0.646,0.4,0.31747474747474747,100,500,2,5.0,garch_only
LASSO-TE,0.5449358059914408,0.9502487562189055,0.382,0.0,0.020303030303030302,100,500,3,5.0,garch_only
OLS-TE,0.2072101331601169,0.12369135323768903,0.638,0.0,0.2605050505050505,100,500,3,5.0,garch_only
LASSO-TE,0.5258620689655172,0.9336734693877551,0.366,0.0,0.019797979797979797,100,500,4,5.0,garch_only
OLS-TE,0.19256756756756757,0.11585365853658537,0.57,0.0,0.24848484848484848,100,500,4,5.0,garch_only
LASSO-TE,0.08662900188323917,0.7419354838709677,0.046,0.0,0.0031313131313131315,100,500,0,5.0,factor_only
OLS-TE,0.1574848572252668,0.09201213346814964,0.546,0.2,0.2996969696969697,100,500,0,5.0,factor_only
LASSO-TE,0.045714285714285714,0.48,0.024,0.2,0.0025252525252525255,100,500,1,5.0,factor_only
