method,f1,precision,recall,hub_recovery,density_pred,N,T,trial,T_N_ratio,dgp
LASSO-TE,0.038461538461538464,0.14285714285714285,0.022222222222222223,0.0,0.008045977011494253,30,60,0,2.0,garch_factor
OLS-TE,0.06837606837606838,0.05555555555555555,0.08888888888888889,0.2,0.08275862068965517,30,60,0,2.0,garch_factor
LASSO-TE,0.1111111111111111,0.3333333333333333,0.06666666666666667,0.0,0.010344827586206896,30,60,1,2.0,garch_factor
OLS-TE,0.17307692307692307,0.15254237288135594,0.2,0.0,0.067816091954023,30,60,1,2.0,garch_factor
LASSO-TE,0.07547169811320754,0.25,0.044444444444444446,0.2,0.009195402298850575,30,60,2,2.0,garch_factor
OLS-TE,0.19801980198019803,0.17857142857142858,0.2222222222222222,0.2,0.06436781609195402,30,60,2,2.0,garch_factor
LASSO-TE,0.12903225806451613,0.23529411764705882,0.08888888888888889,0.4,0.01954022988505747,30,60,3,2.0,garch_factor
OLS-TE,0.17857142857142858,0.14925373134328357,0.2222222222222222,0.4,0.07701149425287357,30,60,3,2.0,garch_factor
LASSO-TE,0.11320754716981132,0.375,0.06666666666666667,0.0,0.009195402298850575,30,60,4,2.0,garch_factor
OLS-TE,0.17307692307692307,0.15254237288135594,0.2,0.4,0.067816091954023,30,60,4,2.0,garch_factor
LASSO-TE,0.16,0.8,0.08888888888888889,0.2,0.005747126436781609,30,120,0,4.0,gaussian
OLS-TE,0.26,0.23636363636363636,0.28888888888888886,0.2,0.06321839080459771,30,120,0,4.0,gaussian
LASSO-TE,0.0784313725490196,0.3333333333333333,0.044444444444444446,0.0,0.006896551724137931,30,120,1,4.0,gaussian
OLS-TE,0.21359223300970873,0.1896551724137931,0.24444444444444444,0.2,0.06666666666666667,30,120,1,4.0,gaussian
LASSO-TE,0.12244897959183673,0.75,0.06666666666666667,0.4,0.004597701149425287,30,120,2,4.0,gaussian
OLS-TE,0.1941747572815534,0.1724137931034483,0.2222222222222222,0.2,0.06666666666666667,30,120,2,4.0,gaussian
LASSO-TE,0.0,0.0,0.0,0.2,0.0022988505747126436,30,120,3,4.0,gaussian
OLS-TE,0.10989010989010989,0.10869565217391304,0.1111111111111111,0.2,0.052873563218390804,30,120,3,4.0,gaussian
LASSO-TE,0.0,0.0,0.0,0.2,0.0034482758620689655,30,120,4,4.0,gaussian
OLS-TE,0.18556701030927836,0.17307692307692307,0.2,0.2,0.059770114942528735,30,120,4,4.0,gaussian
LASSO-TE,0.14814814814814814,0.4444444444444444,0.08888888888888889,0.2,0.010344827586206896,30,120,0,4.0,garch_only
OLS-TE,0.1774193548387097,0.13924050632911392,0.24444444444444444,0.4,0.09080459770114943,30,120,0,4.0,garch_only
LASSO-TE,0.36923076923076925,0.6,0.26666666666666666,0.2,0.022988505747126436,30,120,1,4.0,garch_only
OLS-TE,0.2753623188405797,0.20430107526881722,0.4222222222222222,0.0,0.10689655172413794,30,120,1,4.0,garch_only
LASSO-TE,0.1724137931034483,0.38461538461538464,0.1111111111111111,0.2,0.014942528735632184,30,120,2,4.0,garch_only
OLS-TE,0.17054263565891473,0.13095238095238096,0.24444444444444444,0.2,0.09655172413793103,30,120,2,4.0,garch_only
LASSO-TE,0.2413793103448276,0.5384615384615384,0.15555555555555556,0.4,0.014942528735632184,30,120,3,4.0,garch_only
OLS-TE,0.2191780821917808,0.15841584158415842,0.35555555555555557,0.2,0.11609195402298851,30,120,3,4.0,garch_only
LASSO-TE,0.19607843137254902,0.8333333333333334,0.1111111111111111,0.2,0.006896551724137931,30,120,4,4.0,garch_only
OLS-TE,0.171875,0.13253012048192772,0.24444444444444444,0.0,0.09540229885057472,30,120,4,4.0,garch_only
LASSO-TE,0.11764705882352941,0.5,0.06666666666666667,0.2,0.006896551724137931,30,120,0,4.0,factor_only
OLS-TE,0.1834862385321101,0.15625,0.2222222222222222,0.2,0.0735632183908046,30,120,0,4.0,factor_only
LASSO-TE,0.18867924528301888,0.625,0.1111111111111111,0.2,0.009195402298850575,30,120,1,4.0,factor_only
OLS-TE,0.16494845360824742,0.15384615384615385,0.17777777777777778,0.0,0.059770114942528735,30,120,1,4.0,factor_only
LASSO-TE,0.043478260869565216,1.0,0.022222222222222223,0.2,0.0011494252873563218,30,120,2,4.0,factor_only
OLS-TE,0.2391304347826087,0.23404255319148937,0.24444444444444444,0.6,0.054022988505747126,30,120,2,4.0,factor_only
LASSO-TE,0.08333333333333333,0.6666666666666666,0.044444444444444446,0.6,0.0034482758620689655,30,120,3,4.0,factor_only
OLS-TE,0.23076923076923078,0.17647058823529413,0.3333333333333333,0.8,0.09770114942528736,30,120,3,4.0,factor_only
LASSO-TE,0.0,0.0,0.0,0.2,0.004597701149425287,30,120,4,4.0,factor_only
OLS-TE,0.0970873786407767,0.08620689655172414,0.1111111111111111,0.2,0.06666666666666667,30,120,4,4.0,factor_only
LASSO-TE,0.23076923076923078,0.8571428571428571,0.13333333333333333,0.6,0.008045977011494253,30,120,0,4.0,garch_factor
OLS-TE,0.26785714285714285,0.22388059701492538,0.3333333333333333,0.2,0.07701149425287357,30,120,0,4.0,garch_factor
LASSO-TE,0.29508196721311475,0.5625,0.2,0.6,0.01839080459770115,30,120,1,4.0,garch_factor
OLS-TE,0.2542372881355932,0.2054794520547945,0.3333333333333333,0.4,0.0839080459770115,30,120,1,4.0,garch_factor
LASSO-TE,0.07547169811320754,0.25,0.044444444444444446,0.2,0.009195402298850575,30,120,2,4.0,garch_factor
