precision,recall,f1,hub_recovery,kendall_tau,density_true,density_pred,N,T,T_N,trial,dgp,method
0.4367816091954023,0.31020408163265306,0.3627684964200477,0.2,0.2550827499845654,0.1,0.07102040816326531,50,250,5.0,2,threshold,OLS
0.9130434782608695,0.08571428571428572,0.15671641791044777,0.0,0.03979979442915129,0.1,0.009387755102040816,50,250,5.0,2,threshold,LASSO
0.12883435582822086,0.504,0.20521172638436483,0.0,-0.07267599457537223,0.05102040816326531,0.19959183673469388,50,250,5.0,3,linear,OLS
0.7916666666666666,0.304,0.4393063583815029,0.2,0.19056426390365744,0.05102040816326531,0.019591836734693877,50,250,5.0,3,linear,LASSO
0.44970414201183434,0.31020408163265306,0.3671497584541063,0.0,0.22305482217138575,0.1,0.06897959183673469,50,250,5.0,3,threshold,OLS
1.0,0.11428571428571428,0.20512820512820512,0.4,0.27040378738232423,0.1,0.011428571428571429,50,250,5.0,3,threshold,LASSO
0.19254658385093168,0.496,0.27740492170022374,0.0,0.052178321396133154,0.05102040816326531,0.13142857142857142,50,250,5.0,4,linear,OLS
0.7894736842105263,0.24,0.36809815950920244,0.4,0.2731205123383965,0.05102040816326531,0.015510204081632653,50,250,5.0,4,linear,LASSO
0.4656084656084656,0.35918367346938773,0.4055299539170507,0.4,0.12394544766720764,0.1,0.07714285714285714,50,250,5.0,4,threshold,OLS
0.9523809523809523,0.08163265306122448,0.15037593984962405,0.0,0.12950759311412338,0.1,0.008571428571428572,50,250,5.0,4,threshold,LASSO
0.16246498599439776,0.464,0.24066390041493776,0.4,0.41009459435983414,0.05102040816326531,0.1457142857142857,50,250,5.0,5,linear,OLS
0.8235294117647058,0.224,0.3522012578616352,0.4,0.19789444241484125,0.05102040816326531,0.013877551020408163,50,250,5.0,5,linear,LASSO
0.4603174603174603,0.359504132231405,0.4037122969837587,0.2,0.3274359697668346,0.09877551020408164,0.07714285714285714,50,250,5.0,5,threshold,OLS
0.85,0.07024793388429752,0.1297709923664122,0.0,0.20498070459215137,0.09877551020408164,0.00816326530612245,50,250,5.0,5,threshold,LASSO
0.16831683168316833,0.544,0.2570888468809074,0.2,0.29063300638276485,0.05102040816326531,0.16489795918367348,50,250,5.0,6,linear,OLS
