method,f1,precision,recall,hub_recovery,density_pred,N,T,trial,T_N_ratio,alpha,dgp
ElasticNet(a=0.1),0.2136602451838879,0.8591549295774648,0.122,0.0,0.007171717171717172,100,250,2,2.5,0.1,garch_factor
ElasticNet(a=0.1),0.24561403508771928,1.0,0.14,0.0,0.007070707070707071,100,250,3,2.5,0.1,garch_factor
ElasticNet(a=0.1),0.22300884955752212,0.9692307692307692,0.126,0.2,0.0065656565656565654,100,250,4,2.5,0.1,garch_factor
ElasticNet(a=0.5),0.26506024096385544,0.9506172839506173,0.154,0.0,0.008181818181818182,100,250,0,2.5,0.5,garch_factor
ElasticNet(a=0.5),0.298811544991511,0.9887640449438202,0.176,0.0,0.00898989898989899,100,250,1,2.5,0.5,garch_factor
ElasticNet(a=0.5),0.16696914700544466,0.9019607843137255,0.092,0.0,0.005151515151515152,100,250,2,2.5,0.5,garch_factor
ElasticNet(a=0.5),0.25517241379310346,0.925,0.148,0.4,0.00808080808080808,100,250,3,2.5,0.5,garch_factor
ElasticNet(a=0.5),0.22456140350877193,0.9142857142857143,0.128,0.0,0.007070707070707071,100,250,4,2.5,0.5,garch_factor
ElasticNet(a=0.9),0.27303754266211605,0.9302325581395349,0.16,0.0,0.008686868686868687,100,250,0,2.5,0.9,garch_factor
ElasticNet(a=0.9),0.274442538593482,0.963855421686747,0.16,0.2,0.008383838383838384,100,250,1,2.5,0.9,garch_factor
ElasticNet(a=0.9),0.21314387211367672,0.9523809523809523,0.12,0.0,0.006363636363636364,100,250,2,2.5,0.9,garch_factor
ElasticNet(a=0.9),0.19642857142857142,0.9166666666666666,0.11,0.0,0.006060606060606061,100,250,3,2.5,0.9,garch_factor
ElasticNet(a=0.9),0.281786941580756,1.0,0.164,0.2,0.008282828282828282,100,250,4,2.5,0.9,garch_factor
LASSO (BIC),0.2705479452054795,0.9404761904761905,0.158,0.0,0.008484848484848486,100,250,0,2.5,1.0,garch_factor
LASSO (BIC),0.20701754385964913,0.8428571428571429,0.118,0.0,0.007070707070707071,100,250,1,2.5,1.0,garch_factor
LASSO (BIC),0.345718901453958,0.8991596638655462,0.214,0.0,0.01202020202020202,100,250,2,2.5,1.0,garch_factor
LASSO (BIC),0.2711864406779661,0.8888888888888888,0.16,0.0,0.00909090909090909,100,250,3,2.5,1.0,garch_factor
LASSO (BIC),0.2996632996632997,0.9468085106382979,0.178,0.0,0.009494949494949495,100,250,4,2.5,1.0,garch_factor
ElasticNet(a=0.1),0.35647668393782384,0.36989247311827955,0.344,0.0,0.04696969696969697,100,500,0,5.0,0.1,garch_factor
ElasticNet(a=0.1),0.3778801843317972,0.8145695364238411,0.246,0.2,0.015252525252525252,100,500,1,5.0,0.1,garch_factor
ElasticNet(a=0.1),0.32399512789281365,0.4143302180685358,0.266,0.4,0.032424242424242425,100,500,2,5.0,0.1,garch_factor
ElasticNet(a=0.1),0.34850166481687017,0.3915211970074813,0.314,0.0,0.0405050505050505,100,500,3,5.0,0.1,garch_factor
ElasticNet(a=0.1),0.26245847176079734,0.22443181818181818,0.316,0.0,0.07111111111111111,100,500,4,5.0,0.1,garch_factor
ElasticNet(a=0.5),0.47058823529411764,0.7850467289719626,0.336,0.0,0.021616161616161617,100,500,0,5.0,0.5,garch_factor
ElasticNet(a=0.5),0.4423676012461059,1.0,0.284,0.2,0.014343434343434344,100,500,1,5.0,0.5,garch_factor
ElasticNet(a=0.5),0.48120300751879697,0.9696969696969697,0.32,0.2,0.016666666666666666,100,500,2,5.0,0.5,garch_factor
ElasticNet(a=0.5),0.49327354260089684,0.9763313609467456,0.33,0.4,0.01707070707070707,100,500,3,5.0,0.5,garch_factor
ElasticNet(a=0.5),0.4750378214826021,0.9751552795031055,0.314,0.2,0.016262626262626263,100,500,4,5.0,0.5,garch_factor
ElasticNet(a=0.9),0.5241581259150805,0.9781420765027322,0.358,0.2,0.018484848484848486,100,500,0,5.0,0.9,garch_factor
ElasticNet(a=0.9),0.488822652757079,0.9590643274853801,0.328,0.0,0.017272727272727273,100,500,1,5.0,0.9,garch_factor
ElasticNet(a=0.9),0.5007320644216691,0.9344262295081968,0.342,0.2,0.018484848484848486,100,500,2,5.0,0.9,garch_factor
ElasticNet(a=0.9),0.5228215767634855,0.8475336322869955,0.378,0.0,0.022525252525252525,100,500,3,5.0,0.9,garch_factor
ElasticNet(a=0.9),0.5666199158485273,0.9483568075117371,0.404,0.4,0.021515151515151515,100,500,4,5.0,0.9,garch_factor
LASSO (BIC),0.46476761619190404,0.9281437125748503,0.31,0.2,0.01686868686868687,100,500,0,5.0,1.0,garch_factor
LASSO (BIC),0.5078909612625538,0.8984771573604061,0.354,0.6,0.0198989898989899,100,500,1,5.0,1.0,garch_factor
LASSO (BIC),0.5480225988700564,0.9326923076923077,0.388,0.6,0.02101010101010101,100,500,2,5.0,1.0,garch_factor
LASSO (BIC),0.5277777777777778,0.8636363636363636,0.38,0.0,0.022222222222222223,100,500,3,5.0,1.0,garch_factor
LASSO (BIC),0.5373563218390804,0.9540816326530612,0.374,0.2,0.019797979797979797,100,500,4,5.0,1.0,garch_factor
