precision,recall,f1,hub_recovery,kendall_tau,density_true,density_pred,N,T,density,T_N,trial,method
0.014925373134328358,0.05555555555555555,0.023529411764705882,0.0,-0.0809278975440517,0.020689655172413793,0.07701149425287357,30,60,0.02,2.0,0,OLS
0.0,0.0,0.0,0.4,0.17030230861122395,0.020689655172413793,0.008045977011494253,30,60,0.02,2.0,0,LASSO
0.07317073170731707,0.3333333333333333,0.12,0.2,0.1720233816667518,0.020689655172413793,0.09425287356321839,30,60,0.02,2.0,1,OLS
0.06666666666666667,0.05555555555555555,0.06060606060606061,0.2,0.34387319247666237,0.020689655172413793,0.017241379310344827,30,60,0.02,2.0,1,LASSO
0.1111111111111111,0.5,0.18181818181818182,0.4,0.4644878769723178,0.020689655172413793,0.09310344827586207,30,60,0.02,2.0,2,OLS
0.11764705882352941,0.1111111111111111,0.11428571428571428,0.0,0.0327857838876237,0.020689655172413793,0.01954022988505747,30,60,0.02,2.0,2,LASSO
0.07692307692307693,0.2222222222222222,0.11428571428571428,0.0,0.11682253402630839,0.020689655172413793,0.059770114942528735,30,60,0.02,2.0,3,OLS
0.5,0.05555555555555555,0.1,0.2,0.3125270551058903,0.020689655172413793,0.0022988505747126436,30,60,0.02,2.0,3,LASSO
0.036585365853658534,0.16666666666666666,0.06,0.2,0.022680460581325723,0.020689655172413793,0.09425287356321839,30,60,0.02,2.0,4,OLS
0.09090909090909091,0.05555555555555555,0.06896551724137931,0.4,0.35812672362717146,0.020689655172413793,0.01264367816091954,30,60,0.02,2.0,4,LASSO
0.06153846153846154,0.2222222222222222,0.0963855421686747,0.2,-0.09905360646879091,0.020689655172413793,0.07471264367816093,30,60,0.02,2.0,5,OLS
0.2,0.1111111111111111,0.14285714285714285,0.2,0.3583566001729813,0.020689655172413793,0.011494252873563218,30,60,0.02,2.0,5,LASSO
0.0625,0.2222222222222222,0.0975609756097561,0.2,0.10754495194687823,0.020689655172413793,0.0735632183908046,30,60,0.02,2.0,6,OLS
0.15384615384615385,0.1111111111111111,0.12903225806451613,0.6,0.1517273007591302,0.020689655172413793,0.014942528735632184,30,60,0.02,2.0,6,LASSO
0.08163265306122448,0.2222222222222222,0.11940298507462686,0.6,0.2884146734697787,0.020689655172413793,0.05632183908045977,30,60,0.02,2.0,7,OLS
0.16666666666666666,0.1111111111111111,0.13333333333333333,0.4,0.08423311595321151,0.020689655172413793,0.013793103448275862,30,60,0.02,2.0,7,LASSO
0.18181818181818182,0.35555555555555557,0.24060150375939848,0.0,0.2368320560145721,0.05172413793103448,0.10114942528735632,30,60,0.05,2.0,0,OLS
0.3076923076923077,0.08888888888888889,0.13793103448275862,0.4,0.058194901481596534,0.05172413793103448,0.014942528735632184,30,60,0.05,2.0,0,LASSO
0.12698412698412698,0.17777777777777778,0.14814814814814814,0.0,-0.06521474874896385,0.05172413793103448,0.07241379310344828,30,60,0.05,2.0,1,OLS
0.3333333333333333,0.044444444444444446,0.0784313725490196,0.0,0.12362762394226089,0.05172413793103448,0.006896551724137931,30,60,0.05,2.0,1,LASSO
0.05660377358490566,0.06666666666666667,0.061224489795918366,0.0,-0.1186610757727891,0.05172413793103448,0.06091954022988506,30,60,0.05,2.0,2,OLS
0.0,0.0,0.0,0.0,0.05906745067560106,0.05172413793103448,0.008045977011494253,30,60,0.05,2.0,2,LASSO
0.14754098360655737,0.2,0.16981132075471697,0.2,-0.036730345538080245,0.05172413793103448,0.07011494252873564,30,60,0.05,2.0,3,OLS
0.21428571428571427,0.06666666666666667,0.1016949152542373,0.2,-0.10550633978801464,0.05172413793103448,0.016091954022988506,30,60,0.05,2.0,3,LASSO
0.11594202898550725,0.17777777777777778,0.14035087719298245,0.2,0.0800032484831737,0.05172413793103448,0.07931034482758621,30,60,0.05,2.0,4,OLS
0.14285714285714285,0.044444444444444446,0.06779661016949153,0.0,-0.1944809105531112,0.05172413793103448,0.016091954022988506,30,60,0.05,2.0,4,LASSO
0.08571428571428572,0.13333333333333333,0.10434782608695652,0.2,-0.06591232017341395,0.05172413793103448,0.08045977011494253,30,60,0.05,2.0,5,OLS
0.15384615384615385,0.044444444444444446,0.06896551724137931,0.2,0.2390340505673152,0.05172413793103448,0.014942528735632184,30,60,0.05,2.0,5,LASSO
0.1111111111111111,0.2,0.14285714285714285,0.2,0.15321013988768364,0.05172413793103448,0.09310344827586207,30,60,0.05,2.0,6,OLS
0.0,0.0,0.0,0.0,-0.1708126188560096,0.05172413793103448,0.01264367816091954,30,60,0.05,2.0,6,LASSO
0.10526315789473684,0.13333333333333333,0.11764705882352941,0.2,0.09309980994821827,0.05172413793103448,0.06551724137931035,30,60,0.05,2.0,7,OLS
0.3333333333333333,0.08888888888888889,0.14035087719298245,0.4,-0.03725460762046818,0.05172413793103448,0.013793103448275862,30,60,0.05,2.0,7,LASSO
0.2077922077922078,0.17777777777777778,0.19161676646706588,0.4,0.054979696670478986,0.10344827586206896,0.08850574712643679,30,60,0.1,2.0,0,OLS
0.38461538461538464,0.05555555555555555,0.0970873786407767,0.0,-0.23302069121418523,0.10344827586206896,0.014942528735632184,30,60,0.1,2.0,0,LASSO
0.20588235294117646,0.15555555555555556,0.17721518987341772,0.2,-0.06118264057738429,0.10344827586206896,0.07816091954022988,30,60,0.1,2.0,1,OLS
0.13333333333333333,0.022222222222222223,0.0380952380952381,0.0,-0.22002482939808238,0.10344827586206896,0.017241379310344827,30,60,0.1,2.0,1,LASSO
