formation_date,ticker,nio,horizon,fwd_ret
2021-04-30,TWLO,0.0,1,-0.02725820450230554
2021-04-30,TWLO,0.0,5,-0.17740125730477363
2021-04-30,TWLO,0.0,21,-0.08537899945984995
2021-04-30,NIO,0.0,1,-0.015453639082751991
2021-04-30,NIO,0.0,5,-0.08097463795977888
2021-04-30,NIO,0.0,21,0.07982088575889856
2021-04-30,EWZ,0.0,1,0.007052186177714637
2021-04-30,EWZ,0.0,5,0.07241082254637343
2021-04-30,EWZ,0.0,21,0.13361413598359684
2021-04-30,SPY,0.0,1,0.0006709318764526184
2021-04-30,SPY,0.0,5,0.01219980134555132
2021-04-30,SPY,0.0,21,0.005522898265157616
2021-04-30,CCL,0.0,1,-0.004287245444801524
2021-04-30,CCL,0.0,5,-0.04082321006159051
2021-04-30,CCL,0.0,21,0.08048771808285948
2021-04-30,MSFT,0.0,1,-0.0029344119279878234
2021-04-30,MSFT,0.0,5,0.001984743257600341
2021-04-30,MSFT,0.0,21,-0.017305502308883836
2021-04-30,MRNA,0.0,1,0.04166666666666652
2021-04-30,MRNA,0.0,5,-0.0885460844810132
2021-04-30,MRNA,0.0,21,0.03596388243096771
2021-04-30,WMT,0.0,1,0.016309012875536766
2021-04-30,WMT,0.0,5,0.0031472065205941924
2021-04-30,WMT,0.0,21,0.012586406638824599
2021-04-30,CMCSA,0.0,1,0.007655332027773021
2021-04-30,CMCSA,0.0,5,0.03423181789045737
2021-04-30,CMCSA,0.0,21,0.013701608253816278
2021-04-30,SNAP,-0.0017402001830864,1,-0.04478338471523635
2021-04-30,SNAP,-0.0017402001830864,5,-0.11791073032762345
2021-04-30,SNAP,-0.0017402001830864,21,0.040096859488443326
2021-04-30,XLF,0.0,1,0.003855687138529351
2021-04-30,XLF,0.0,5,0.04068812525069765
2021-04-30,XLF,0.0,21,0.05396023290920471
2021-04-30,LQD,0.0,1,-0.0003812428516970501
2021-04-30,LQD,0.0,5,0.004568223271471328
2021-04-30,LQD,0.0,21,0.0020116888156281876
2021-04-30,PTON,0.0003466571630133,1,-0.027989821882951738
2021-04-30,PTON,0.0003466571630133,5,-0.13721557988786526
2021-04-30,PTON,0.0003466571630133,21,0.1377142280819854
2021-04-30,TSM,0.0,1,-0.011537475429450272
2021-04-30,TSM,0.0,5,-0.0011585120130009896
2021-04-30,TSM,0.0,21,0.014861277010343121
2021-04-30,BABA,0.0,1,0.003379256563555977
2021-04-30,BABA,0.0,5,-0.022901233916485908
2021-04-30,BABA,0.0,21,-0.044673124016348376
2021-04-30,UNH,0.0,1,0.020490257699560477
2021-04-30,UNH,0.0,5,0.047636426197751325
2021-04-30,UNH,0.0,21,0.027031514586794092
2021-04-30,GLD,-0.0003124328583221,1,0.012603268407405999
2021-04-30,GLD,-0.0003124328583221,5,0.03438327509060235
2021-04-30,GLD,-0.0003124328583221,21,0.07000960984230431
2021-04-30,GME,-0.0001779173841584,1,-0.07683486238532145
2021-04-30,GME,-0.0001779173841584,5,-0.08131095784523612
2021-04-30,GME,-0.0001779173841584,21,0.45308055555096105
2021-04-30,ADBE,0.0,1,-0.008144155486485172
2021-04-30,ADBE,0.0,5,-0.038762787198266646
2021-04-30,ADBE,0.0,21,-0.022193176767862033
2021-04-30,AMC,0.0,1,-0.03496503496503478
2021-04-30,AMC,0.0,5,-0.05365403596219476
2021-04-30,AMC,0.0,21,1.5636534412684802
2021-04-30,DKNG,0.0009390486733546,1,0.003902092940759161
2021-04-30,DKNG,0.0009390486733546,5,-0.1480671122131597
2021-04-30,DKNG,0.0009390486733546,21,-0.11576641683525091
2021-04-30,PYPL,0.0,1,-0.0152483078561102
2021-04-30,PYPL,0.0,5,-0.036470964740936807
2021-04-30,PYPL,0.0,21,-0.010624419993411238
2021-04-30,PDD,0.0,1,-0.0037361761854830533
2021-04-30,PDD,0.0,5,-0.0010761759265648374
2021-04-30,PDD,0.0,21,0.06039858568567702
2021-04-30,UBER,0.0005207060483095,1,0.0010948905109495755
2021-04-30,UBER,0.0005207060483095,5,-0.14213316454200953
2021-04-30,UBER,0.0005207060483095,21,-0.05622327033085983
2021-04-30,QCOM,3.9957179813526126e-05,1,-0.011311239193083522
2021-04-30,QCOM,3.9957179813526126e-05,5,-0.0067265343584146375
2021-04-30,QCOM,3.9957179813526126e-05,21,-0.03256243266822456
2021-04-30,TSLA,0.0,1,-0.040422670363004176
2021-04-30,TSLA,0.0,5,-0.05774426667800392
2021-04-30,TSLA,0.0,21,-0.12195838616916699
2021-04-30,AMAT,0.0,1,7.54489210808007e-05
2021-04-30,AMAT,0.0,5,0.00293909720880281
2021-04-30,AMAT,0.0,21,0.051140094770042444
2021-04-30,BA,0.0002833456268775,1,0.0036752136752129516
2021-04-30,BA,0.0002833456268775,5,0.008018889612800617
2021-04-30,BA,0.0002833456268775,21,0.08811810896205952
2021-04-30,VIAC,0.0,1,-0.038733252131546325
2021-04-30,VIAC,0.0,5,-0.04056038533040507
2021-04-30,VIAC,0.0,21,0.0414529442759044
2021-04-30,V,0.0004708425746243,1,-0.004238195128216216
2021-04-30,V,0.0004708425746243,5,-0.006156415963914474
2021-04-30,V,0.0004708425746243,21,-0.028202728738202953
2021-04-30,DIS,0.0,1,-0.003759398496240629
2021-04-30,DIS,0.0,5,-0.004566357632597162
2021-04-30,DIS,0.0,21,-0.03816316296677846
2021-04-30,VOO,0.0,1,0.00010421008753702665
2021-04-30,VOO,0.0,5,0.011448230926643266
2021-04-30,VOO,0.0,21,0.004863496224526975
2021-04-30,ROKU,0.0005481584631925,1,-0.026957861982726206
2021-04-30,ROKU,0.0005481584631925,5,-0.0780059418073179
2021-04-30,ROKU,0.0005481584631925,21,0.02088021780294591
2021-04-30,XOM,-0.0003490296010706,1,0.026908963830159616
2021-04-30,XOM,-0.0003490296010706,5,0.0889430249641956
2021-04-30,XOM,-0.0003490296010706,21,0.06018800644787514
2021-04-30,SHOP,-0.000468986447288,1,-0.05176053364856892
