precision,recall,f1,hub_recovery,kendall_tau,N,T,T_N,trial,dgp,method
0.109375,0.15555555555555556,0.12844036697247707,0.4,0.2178958862593617,30,60,2.0,0,linear,OLS
0.2,0.044444444444444446,0.07272727272727272,0.2,0.1877389188190458,30,60,2.0,0,linear,LASSO
0.16666666666666666,0.10344827586206896,0.1276595744680851,0.2,0.28808974796963127,30,60,2.0,0,threshold,OLS
0.2,0.011494252873563218,0.021739130434782608,0.4,0.12194530032344997,30,60,2.0,0,threshold,LASSO
0.15,0.2,0.17142857142857143,0.4,-0.13728064274337262,30,60,2.0,1,linear,OLS
0.2857142857142857,0.08888888888888889,0.13559322033898305,0.4,-0.05291653814398084,30,60,2.0,1,linear,LASSO
0.2641509433962264,0.15730337078651685,0.19718309859154928,0.0,-0.08404977220207888,30,60,2.0,1,threshold,OLS
0.3333333333333333,0.0449438202247191,0.07920792079207921,0.4,-0.05312739355368017,30,60,2.0,1,threshold,LASSO
0.13333333333333333,0.17777777777777778,0.1523809523809524,0.4,0.005891175927298003,30,60,2.0,2,linear,OLS
0.23076923076923078,0.06666666666666667,0.10344827586206896,0.0,-0.276353356369766,30,60,2.0,2,linear,LASSO
0.2542372881355932,0.17045454545454544,0.20408163265306123,0.2,0.19136337527181765,30,60,2.0,2,threshold,OLS
0.4,0.022727272727272728,0.043010752688172046,0.0,0.004675245822121844,30,60,2.0,2,threshold,LASSO
0.125,0.2,0.15384615384615385,0.2,-0.05323161137715511,30,60,2.0,3,linear,OLS
0.25,0.06666666666666667,0.10526315789473684,0.6,0.20496959156165012,30,60,2.0,3,linear,LASSO
0.30434782608695654,0.1590909090909091,0.208955223880597,0.2,0.11411874527477078,30,60,2.0,3,threshold,OLS
1.0,0.03409090909090909,0.06593406593406594,0.2,0.2576670686063124,30,60,2.0,3,threshold,LASSO
0.10606060606060606,0.15555555555555556,0.12612612612612611,0.2,0.11489587605310432,30,60,2.0,4,linear,OLS
0.18181818181818182,0.044444444444444446,0.07142857142857142,0.0,0.0682302944184305,30,60,2.0,4,linear,LASSO
0.23076923076923078,0.1348314606741573,0.1702127659574468,0.4,0.22604642990156243,30,60,2.0,4,threshold,OLS
0.13333333333333333,0.02247191011235955,0.038461538461538464,0.0,-0.006976904554814201,30,60,2.0,4,threshold,LASSO
0.1346153846153846,0.15555555555555556,0.14432989690721648,0.2,0.10945789161032057,30,60,2.0,5,linear,OLS
0.07142857142857142,0.022222222222222223,0.03389830508474576,0.4,0.03387218671613154,30,60,2.0,5,linear,LASSO
0.14035087719298245,0.09195402298850575,0.1111111111111111,0.2,0.06282125524767611,30,60,2.0,5,threshold,OLS
0.0,0.0,0.0,0.0,-0.09751928290039771,30,60,2.0,5,threshold,LASSO
0.13333333333333333,0.2222222222222222,0.16666666666666666,0.2,0.1025054620612764,30,60,2.0,6,linear,OLS
0.14285714285714285,0.044444444444444446,0.06779661016949153,0.2,-0.10475509389039593,30,60,2.0,6,linear,LASSO
0.30952380952380953,0.14606741573033707,0.1984732824427481,0.4,0.318565047774727,30,60,2.0,6,threshold,OLS
