N,T,T_N,trial,h,signal,t_stat,n_conn,n_isol
50,500,10.0,2,10,Oracle_NIO,0.4457872781567712,40,10
50,500,10.0,2,10,LASSO_NIO,-0.3981859057965712,45,5
50,500,10.0,2,15,Oracle_NIO,2.052462918389003,40,10
50,500,10.0,2,15,LASSO_NIO,-1.951432303506492,45,5
50,500,10.0,2,20,Oracle_NIO,-3.5424625159113114,40,10
50,500,10.0,2,20,LASSO_NIO,0.4376539590244565,45,5
50,500,10.0,2,25,Oracle_NIO,-1.736943647654173,40,10
50,500,10.0,2,25,LASSO_NIO,-1.6345029174522538,45,5
50,500,10.0,2,30,Oracle_NIO,-2.324323784367751,40,10
50,500,10.0,2,30,LASSO_NIO,-1.1892099460468102,45,5
50,500,10.0,2,35,Oracle_NIO,0.8715254682629137,40,10
50,500,10.0,2,35,LASSO_NIO,0.8949369669528036,45,5
50,500,10.0,2,40,Oracle_NIO,-1.3964897362732012,40,10
50,500,10.0,2,40,LASSO_NIO,0.16261949060461686,45,5
50,500,10.0,2,45,Oracle_NIO,1.8449258849448928,40,10
50,500,10.0,2,45,LASSO_NIO,-0.35115763844933773,45,5
50,500,10.0,2,50,Oracle_NIO,3.381651724498466,40,10
50,500,10.0,2,50,LASSO_NIO,-0.5016842348625258,45,5
50,500,10.0,2,55,Oracle_NIO,0.5486752411370945,40,10
50,500,10.0,2,55,LASSO_NIO,0.1657604070167367,45,5
50,500,10.0,2,60,Oracle_NIO,-0.37785903967159445,40,10
50,500,10.0,2,60,LASSO_NIO,-0.08083987291730002,45,5
50,500,10.0,2,65,Oracle_NIO,0.06105479007442472,40,10
50,500,10.0,2,65,LASSO_NIO,-0.575921070833082,45,5
50,500,10.0,2,70,Oracle_NIO,-1.6327528121759178,40,10
50,500,10.0,2,70,LASSO_NIO,-0.21585969087666204,45,5
50,500,10.0,2,75,Oracle_NIO,-0.4882693778024662,40,10
50,500,10.0,2,75,LASSO_NIO,0.7498118910522774,45,5
50,500,10.0,2,80,Oracle_NIO,-0.10729558747451477,40,10
50,500,10.0,2,80,LASSO_NIO,-0.2333969758589958,45,5
50,500,10.0,2,85,Oracle_NIO,0.1717445177826318,40,10
50,500,10.0,2,85,LASSO_NIO,-0.3451937465439355,45,5
50,500,10.0,2,90,Oracle_NIO,0.5328694251941887,40,10
50,500,10.0,2,90,LASSO_NIO,1.0509056528524197,45,5
50,500,10.0,3,0,Oracle_NIO,-0.9102270175554901,41,9
50,500,10.0,3,0,LASSO_NIO,1.2639893389523367,45,5
