N,T,T_N_ratio,trial,method,hub_recovery,precision
100,60,0.6,5,LASSO-TE,0.0,0.5428571428571428
100,60,0.6,5,OLS-TE,0.0,0.10859188544152745
100,60,0.6,6,LASSO-TE,0.0,0.3181818181818182
100,60,0.6,6,OLS-TE,0.2,0.10591471801925723
100,60,0.6,7,LASSO-TE,0.0,0.5555555555555556
100,60,0.6,7,OLS-TE,0.0,0.11004126547455295
100,60,0.6,8,LASSO-TE,0.0,0.2
100,60,0.6,8,OLS-TE,0.0,0.09932885906040269
100,60,0.6,9,LASSO-TE,0.0,0.21052631578947367
100,60,0.6,9,OLS-TE,0.0,0.10368349249658936
100,250,2.5,0,LASSO-TE,0.2,0.8604651162790697
100,250,2.5,0,OLS-TE,0.2,0.13570566948130278
100,250,2.5,1,LASSO-TE,0.4,0.9125
100,250,2.5,1,OLS-TE,0.0,0.15817091454272864
100,250,2.5,2,LASSO-TE,0.2,0.9351851851851852
100,250,2.5,2,OLS-TE,0.2,0.16475095785440613
100,250,2.5,3,LASSO-TE,0.2,0.8953488372093024
100,250,2.5,3,OLS-TE,0.0,0.1859922178988327
100,250,2.5,4,LASSO-TE,0.2,0.9514563106796117
100,250,2.5,4,OLS-TE,0.2,0.13333333333333333
100,250,2.5,5,LASSO-TE,0.2,0.9469026548672567
100,250,2.5,5,OLS-TE,0.0,0.13794983642311887
100,250,2.5,6,LASSO-TE,0.2,0.918918918918919
100,250,2.5,6,OLS-TE,0.0,0.1583710407239819
100,250,2.5,7,LASSO-TE,0.0,0.9578947368421052
100,250,2.5,7,OLS-TE,0.2,0.1282194848824188
100,250,2.5,8,LASSO-TE,0.0,0.872093023255814
100,250,2.5,8,OLS-TE,0.6,0.13476664918720505
100,250,2.5,9,LASSO-TE,0.0,0.8913043478260869
100,250,2.5,9,OLS-TE,0.0,0.15724815724815724
100,500,5.0,0,LASSO-TE,0.2,0.9695431472081218
100,500,5.0,0,OLS-TE,0.0,0.09874088800530152
100,500,5.0,1,LASSO-TE,0.0,0.9613259668508287
100,500,5.0,1,OLS-TE,0.2,0.12583333333333332
100,500,5.0,2,LASSO-TE,0.6,0.9560439560439561
100,500,5.0,2,OLS-TE,0.2,0.11158342189160468
100,500,5.0,3,LASSO-TE,0.2,0.9181286549707602
100,500,5.0,3,OLS-TE,0.0,0.11142625607779579
100,500,5.0,4,LASSO-TE,0.8,0.9701492537313433
100,500,5.0,4,OLS-TE,0.4,0.11643048640367676
100,500,5.0,5,LASSO-TE,0.2,0.8943396226415095
100,500,5.0,5,OLS-TE,0.0,0.08122969257685579
100,500,5.0,6,LASSO-TE,0.2,0.9530516431924883
100,500,5.0,6,OLS-TE,0.2,0.1111878453038674
100,500,5.0,7,LASSO-TE,0.0,0.988950276243094
100,500,5.0,7,OLS-TE,0.0,0.11881947106170947
100,500,5.0,8,LASSO-TE,0.4,0.9772727272727273
100,500,5.0,8,OLS-TE,0.2,0.1172
100,500,5.0,9,LASSO-TE,0.4,0.9148936170212766
100,500,5.0,9,OLS-TE,0.2,0.0937231298366294
