formation_date,ticker,nio,fwd_ret_5d
2022-01-19,PYPL,0.0,-0.017978672954799067
2022-01-19,XBI,0.0,-0.005064100478057254
2022-01-19,IVV,0.0,-0.008899285113131927
2022-01-19,WFC,0.0,-0.0066039547703661714
2022-01-19,VOO,0.0,-0.007081680754755815
2022-01-19,CSCO,0.0,-0.00959357812540218
2022-01-19,VZ,-0.00034991577513159353,-0.0018699566628241238
2022-01-19,RBLX,0.0,-0.027066338069583695
2022-01-19,LQD,0.0,-0.0013526534899089837
2022-01-19,ARKK,0.0,-0.010888035491566006
2022-01-19,NIO,0.0,-0.034978398101625105
2022-01-19,INTU,-0.0005106477910460874,-0.010920452360698895
2022-01-19,AFRM,0.0,-0.02933229415865899
2022-01-19,ROKU,0.0006368923966126698,-0.013916158854480009
2022-01-19,XLI,0.0,-0.005778175030712984
2022-01-19,TGT,0.0,-0.010717573739253278
2022-01-19,AMZN,0.0,-0.01963520347482408
2022-01-19,AMC,0.0013151014534179663,-0.0285894373921749
2022-01-19,CVX,0.0,0.005999461088861091
2022-01-19,UPST,0.0,-0.015439079737391049
2022-01-19,TSM,-0.0006187759612145225,-0.010177432501369132
2022-01-19,SHOP,0.0,-0.02317366889530139
2022-01-19,BABA,0.0,-0.011794717452123304
2022-01-19,DIS,0.0,-0.018512127660897826
2022-01-19,DIA,0.0,-0.003843175933533294
2022-01-19,FXI,0.0,4.4995716013573885e-06
2022-01-19,AMAT,0.0,-0.012811195666685116
2022-01-19,XLV,-0.0006368923966126698,-0.005694047601456998
2022-01-19,UNH,0.0,-0.004405139099656286
2022-01-19,HYG,0.0,-0.0014920584946870874
2022-01-19,XLE,0.0,0.0038948520230464466
2022-01-19,EFA,0.0,-0.008143223493490814
2022-01-19,PFE,0.0,-0.003253070737076147
2022-01-19,ZM,0.0,-0.013919195980213272
2022-01-19,MRNA,0.0,-0.024044435029011525
2022-01-19,JPM,0.0,-0.002714662472942142
2022-01-19,SQ,0.0006187759612145225,-0.018203757367881202
2022-01-19,NVAX,0.0,-0.03357554897821582
2022-01-19,COIN,0.0,-0.028919370733180006
2022-01-19,IEF,0.0,0.0017885123015813076
2022-01-19,MA,0.0,-0.012250330265466403
2022-01-19,QCOM,0.0,-0.005890139769011782
2022-01-19,UBER,0.0,-0.01540217122449441
2022-01-19,GOOG,0.0,-0.01463268484009378
2022-01-19,GM,0.0,-0.01480688477739347
2022-01-19,AAPL,0.0,-0.0067048505283012535
2022-01-19,CRM,0.0,-0.007912216460260014
2022-01-19,F,-0.0009651856782863728,-0.020273048030588714
