method,f1,precision,recall,density_true,density_pred,N,T,trial,T_N_ratio
OLS-TE,0.23300970873786409,0.20689655172413793,0.26666666666666666,0.05172413793103448,0.06666666666666667,30,120,0,4.0
LASSO-TE,0.1111111111111111,0.3333333333333333,0.06666666666666667,0.05172413793103448,0.010344827586206896,30,120,1,4.0
OLS-TE,0.20952380952380953,0.18333333333333332,0.24444444444444444,0.05172413793103448,0.06896551724137931,30,120,1,4.0
LASSO-TE,0.19230769230769232,0.7142857142857143,0.1111111111111111,0.05172413793103448,0.008045977011494253,30,120,2,4.0
OLS-TE,0.1941747572815534,0.1724137931034483,0.2222222222222222,0.05172413793103448,0.06666666666666667,30,120,2,4.0
LASSO-TE,0.0,0.0,0.0,0.05172413793103448,0.0034482758620689655,30,120,3,4.0
OLS-TE,0.13186813186813187,0.13043478260869565,0.13333333333333333,0.05172413793103448,0.052873563218390804,30,120,3,4.0
LASSO-TE,0.0,0.0,0.0,0.05172413793103448,0.0022988505747126436,30,120,4,4.0
OLS-TE,0.16326530612244897,0.1509433962264151,0.17777777777777778,0.05172413793103448,0.06091954022988506,30,120,4,4.0
LASSO-TE,0.07272727272727272,0.2,0.044444444444444446,0.05172413793103448,0.011494252873563218,30,120,5,4.0
OLS-TE,0.11650485436893204,0.10344827586206896,0.13333333333333333,0.05172413793103448,0.06666666666666667,30,120,5,4.0
LASSO-TE,0.1509433962264151,0.5,0.08888888888888889,0.05172413793103448,0.009195402298850575,30,120,6,4.0
OLS-TE,0.3368421052631579,0.32,0.35555555555555557,0.05172413793103448,0.05747126436781609,30,120,6,4.0
LASSO-TE,0.0,0.0,0.0,0.05172413793103448,0.009195402298850575,30,120,7,4.0
OLS-TE,0.18181818181818182,0.16666666666666666,0.2,0.05172413793103448,0.06206896551724138,30,120,7,4.0
LASSO-TE,0.038461538461538464,0.14285714285714285,0.022222222222222223,0.05172413793103448,0.008045977011494253,30,120,8,4.0
OLS-TE,0.24742268041237114,0.23076923076923078,0.26666666666666666,0.05172413793103448,0.059770114942528735,30,120,8,4.0
LASSO-TE,0.12698412698412698,0.2222222222222222,0.08888888888888889,0.05172413793103448,0.020689655172413793,30,120,9,4.0
OLS-TE,0.20689655172413793,0.16901408450704225,0.26666666666666666,0.05172413793103448,0.08160919540229886,30,120,9,4.0
LASSO-TE,0.04081632653061224,0.25,0.022222222222222223,0.05172413793103448,0.004597701149425287,30,250,0,8.333333333333334
OLS-TE,0.24489795918367346,0.22641509433962265,0.26666666666666666,0.05172413793103448,0.06091954022988506,30,250,0,8.333333333333334
LASSO-TE,0.16,0.8,0.08888888888888889,0.05172413793103448,0.005747126436781609,30,250,1,8.333333333333334
OLS-TE,0.3076923076923077,0.30434782608695654,0.3111111111111111,0.05172413793103448,0.052873563218390804,30,250,1,8.333333333333334
LASSO-TE,0.16326530612244897,1.0,0.08888888888888889,0.05172413793103448,0.004597701149425287,30,250,2,8.333333333333334
OLS-TE,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.05172413793103448,0.05172413793103448,30,250,2,8.333333333333334
LASSO-TE,0.12,0.6,0.06666666666666667,0.05172413793103448,0.005747126436781609,30,250,3,8.333333333333334
OLS-TE,0.3958333333333333,0.37254901960784315,0.4222222222222222,0.05172413793103448,0.05862068965517241,30,250,3,8.333333333333334
LASSO-TE,0.19230769230769232,0.7142857142857143,0.1111111111111111,0.05172413793103448,0.008045977011494253,30,250,4,8.333333333333334
OLS-TE,0.28846153846153844,0.2542372881355932,0.3333333333333333,0.05172413793103448,0.067816091954023,30,250,4,8.333333333333334
LASSO-TE,0.14545454545454545,0.4,0.08888888888888889,0.05172413793103448,0.011494252873563218,30,250,5,8.333333333333334
OLS-TE,0.31683168316831684,0.2857142857142857,0.35555555555555557,0.05172413793103448,0.06436781609195402,30,250,5,8.333333333333334
LASSO-TE,0.16,0.8,0.08888888888888889,0.05172413793103448,0.005747126436781609,30,250,6,8.333333333333334
OLS-TE,0.36,0.32727272727272727,0.4,0.05172413793103448,0.06321839080459771,30,250,6,8.333333333333334
LASSO-TE,0.18518518518518517,0.5555555555555556,0.1111111111111111,0.05172413793103448,0.010344827586206896,30,250,7,8.333333333333334
OLS-TE,0.29411764705882354,0.2631578947368421,0.3333333333333333,0.05172413793103448,0.06551724137931035,30,250,7,8.333333333333334
LASSO-TE,0.08333333333333333,0.6666666666666666,0.044444444444444446,0.05172413793103448,0.0034482758620689655,30,250,8,8.333333333333334
OLS-TE,0.32727272727272727,0.27692307692307694,0.4,0.05172413793103448,0.07471264367816093,30,250,8,8.333333333333334
LASSO-TE,0.23333333333333334,0.4666666666666667,0.15555555555555556,0.05172413793103448,0.017241379310344827,30,250,9,8.333333333333334
OLS-TE,0.26785714285714285,0.22388059701492538,0.3333333333333333,0.05172413793103448,0.07701149425287357,30,250,9,8.333333333333334
LASSO-TE,0.32727272727272727,0.9,0.2,0.05172413793103448,0.011494252873563218,30,500,0,16.666666666666668
OLS-TE,0.44660194174757284,0.39655172413793105,0.5111111111111111,0.05172413793103448,0.06666666666666667,30,500,0,16.666666666666668
LASSO-TE,0.3508771929824561,0.8333333333333334,0.2222222222222222,0.05172413793103448,0.013793103448275862,30,500,1,16.666666666666668
OLS-TE,0.42105263157894735,0.34782608695652173,0.5333333333333333,0.05172413793103448,0.07931034482758621,30,500,1,16.666666666666668
LASSO-TE,0.4788732394366197,0.6538461538461539,0.37777777777777777,0.05172413793103448,0.029885057471264367,30,500,2,16.666666666666668
OLS-TE,0.5178571428571429,0.43283582089552236,0.6444444444444445,0.05172413793103448,0.07701149425287357,30,500,2,16.666666666666668
LASSO-TE,0.3333333333333333,1.0,0.2,0.05172413793103448,0.010344827586206896,30,500,3,16.666666666666668
OLS-TE,0.44036697247706424,0.375,0.5333333333333333,0.05172413793103448,0.0735632183908046,30,500,3,16.666666666666668
LASSO-TE,0.19230769230769232,0.7142857142857143,0.1111111111111111,0.05172413793103448,0.008045977011494253,30,500,4,16.666666666666668
OLS-TE,0.4423076923076923,0.3898305084745763,0.5111111111111111,0.05172413793103448,0.067816091954023,30,500,4,16.666666666666668
LASSO-TE,0.35714285714285715,0.9090909090909091,0.2222222222222222,0.05172413793103448,0.01264367816091954,30,500,5,16.666666666666668
OLS-TE,0.5,0.45454545454545453,0.5555555555555556,0.05172413793103448,0.06321839080459771,30,500,5,16.666666666666668
LASSO-TE,0.23529411764705882,1.0,0.13333333333333333,0.05172413793103448,0.006896551724137931,30,500,6,16.666666666666668
OLS-TE,0.43478260869565216,0.35714285714285715,0.5555555555555556,0.05172413793103448,0.08045977011494253,30,500,6,16.666666666666668
LASSO-TE,0.3492063492063492,0.6111111111111112,0.24444444444444444,0.05172413793103448,0.020689655172413793,30,500,7,16.666666666666668
OLS-TE,0.5,0.4,0.6666666666666666,0.05172413793103448,0.08620689655172414,30,500,7,16.666666666666668
LASSO-TE,0.2,1.0,0.1111111111111111,0.05172413793103448,0.005747126436781609,30,500,8,16.666666666666668
OLS-TE,0.42990654205607476,0.3709677419354839,0.5111111111111111,0.05172413793103448,0.07126436781609195,30,500,8,16.666666666666668
LASSO-TE,0.2641509433962264,0.875,0.15555555555555556,0.05172413793103448,0.009195402298850575,30,500,9,16.666666666666668
OLS-TE,0.4380952380952381,0.38333333333333336,0.5111111111111111,0.05172413793103448,0.06896551724137931,30,500,9,16.666666666666668
LASSO-TE,0.056179775280898875,0.09433962264150944,0.04,0.05102040816326531,0.02163265306122449,50,60,0,1.2
OLS-TE,0.10852713178294573,0.10526315789473684,0.112,0.05102040816326531,0.054285714285714284,50,60,0,1.2
LASSO-TE,0.060085836909871244,0.06481481481481481,0.056,0.05102040816326531,0.044081632653061226,50,60,1,1.2
OLS-TE,0.12955465587044535,0.13114754098360656,0.128,0.05102040816326531,0.04979591836734694,50,60,1,1.2
LASSO-TE,0.10404624277456648,0.1875,0.072,0.05102040816326531,0.019591836734693877,50,60,2,1.2
OLS-TE,0.11016949152542373,0.11711711711711711,0.104,0.05102040816326531,0.045306122448979594,50,60,2,1.2
LASSO-TE,0.05653710247349823,0.05063291139240506,0.064,0.05102040816326531,0.06448979591836734,50,60,3,1.2
OLS-TE,0.10408921933085502,0.09722222222222222,0.112,0.05102040816326531,0.05877551020408163,50,60,3,1.2
LASSO-TE,0.08433734939759036,0.17073170731707318,0.056,0.05102040816326531,0.01673469387755102,50,60,4,1.2
OLS-TE,0.125,0.13043478260869565,0.12,0.05102040816326531,0.04693877551020408,50,60,4,1.2
LASSO-TE,0.021739130434782608,0.03389830508474576,0.016,0.05102040816326531,0.024081632653061225,50,60,5,1.2
OLS-TE,0.20967741935483872,0.21138211382113822,0.208,0.05102040816326531,0.05020408163265306,50,60,5,1.2
LASSO-TE,0.09375,0.13432835820895522,0.072,0.05102040816326531,0.027346938775510202,50,60,6,1.2
OLS-TE,0.1259259259259259,0.11724137931034483,0.136,0.05102040816326531,0.05918367346938776,50,60,6,1.2
LASSO-TE,0.0979020979020979,0.08695652173913043,0.112,0.05102040816326531,0.06571428571428571,50,60,7,1.2
OLS-TE,0.11450381679389313,0.10948905109489052,0.12,0.05102040816326531,0.05591836734693877,50,60,7,1.2
LASSO-TE,0.13145539906103287,0.1590909090909091,0.112,0.05102040816326531,0.035918367346938776,50,60,8,1.2
OLS-TE,0.16216216216216217,0.15671641791044777,0.168,0.05102040816326531,0.054693877551020405,50,60,8,1.2
LASSO-TE,0.10416666666666667,0.09202453987730061,0.12,0.05102040816326531,0.06653061224489797,50,60,9,1.2
OLS-TE,0.13636363636363635,0.12949640287769784,0.144,0.05102040816326531,0.05673469387755102,50,60,9,1.2
LASSO-TE,0.07462686567164178,0.5555555555555556,0.04,0.05102040816326531,0.003673469387755102,50,120,0,2.4
OLS-TE,0.17886178861788618,0.18181818181818182,0.176,0.05102040816326531,0.04938775510204082,50,120,0,2.4
LASSO-TE,0.05925925925925926,0.4,0.032,0.05102040816326531,0.004081632653061225,50,120,1,2.4
OLS-TE,0.19230769230769232,0.18518518518518517,0.2,0.05102040816326531,0.05510204081632653,50,120,1,2.4
LASSO-TE,0.03007518796992481,0.25,0.016,0.05102040816326531,0.0032653061224489797,50,120,2,2.4
OLS-TE,0.2140221402214022,0.19863013698630136,0.232,0.05102040816326531,0.05959183673469388,50,120,2,2.4
LASSO-TE,0.030303030303030304,0.2857142857142857,0.016,0.05102040816326531,0.002857142857142857,50,120,3,2.4
OLS-TE,0.18032786885245902,0.18487394957983194,0.176,0.05102040816326531,0.04857142857142857,50,120,3,2.4
LASSO-TE,0.08571428571428572,0.4,0.048,0.05102040816326531,0.006122448979591836,50,120,4,2.4
OLS-TE,0.22053231939163498,0.21014492753623187,0.232,0.05102040816326531,0.0563265306122449,50,120,4,2.4
LASSO-TE,0.044444444444444446,0.3,0.024,0.05102040816326531,0.004081632653061225,50,120,5,2.4
OLS-TE,0.17777777777777778,0.16551724137931034,0.192,0.05102040816326531,0.05918367346938776,50,120,5,2.4
LASSO-TE,0.030303030303030304,0.2857142857142857,0.016,0.05102040816326531,0.002857142857142857,50,120,6,2.4
OLS-TE,0.21561338289962825,0.2013888888888889,0.232,0.05102040816326531,0.05877551020408163,50,120,6,2.4
LASSO-TE,0.0,0.0,0.0,0.05102040816326531,0.0024489795918367346,50,120,7,2.4
OLS-TE,0.20392156862745098,0.2,0.208,0.05102040816326531,0.053061224489795916,50,120,7,2.4
LASSO-TE,0.05970149253731343,0.4444444444444444,0.032,0.05102040816326531,0.003673469387755102,50,120,8,2.4
OLS-TE,0.14285714285714285,0.1347517730496454,0.152,0.05102040816326531,0.05755102040816327,50,120,8,2.4
LASSO-TE,0.06060606060606061,0.5714285714285714,0.032,0.05102040816326531,0.002857142857142857,50,120,9,2.4
OLS-TE,0.1774193548387097,0.17886178861788618,0.176,0.05102040816326531,0.05020408163265306,50,120,9,2.4
LASSO-TE,0.145985401459854,0.8333333333333334,0.08,0.05102040816326531,0.004897959183673469,50,250,0,5.0
OLS-TE,0.32867132867132864,0.2919254658385093,0.376,0.05102040816326531,0.06571428571428571,50,250,0,5.0
LASSO-TE,0.21428571428571427,1.0,0.12,0.05102040816326531,0.006122448979591836,50,250,1,5.0
OLS-TE,0.34782608695652173,0.31788079470198677,0.384,0.05102040816326531,0.061632653061224486,50,250,1,5.0
LASSO-TE,0.1388888888888889,0.5263157894736842,0.08,0.05102040816326531,0.007755102040816327,50,250,2,5.0
OLS-TE,0.2727272727272727,0.2422360248447205,0.312,0.05102040816326531,0.06571428571428571,50,250,2,5.0
