N,T,T/N,trial,method,precision,recall,f1,hub_recovery,density
20,12,0.6,26,LASSO,0.0,0.0,0.0,0.4,0.02631578947368421
20,12,0.6,26,KNN,0.05263157894736842,0.05,0.05128205128205128,0.4,0.05
20,12,0.6,27,OLS,,,,,
20,12,0.6,27,LASSO,0.0,0.0,0.0,0.2,0.042105263157894736
20,12,0.6,27,KNN,0.05263157894736842,0.05,0.05128205128205128,0.4,0.05
20,12,0.6,28,OLS,,,,,
20,12,0.6,28,LASSO,0.1,0.1,0.1,0.2,0.05263157894736842
20,12,0.6,28,KNN,0.05263157894736842,0.05,0.05128205128205128,0.4,0.05
20,12,0.6,29,OLS,,,,,
20,12,0.6,29,LASSO,0.0,0.0,0.0,0.0,0.034210526315789476
20,12,0.6,29,KNN,0.05263157894736842,0.05,0.05128205128205128,0.2,0.05
20,12,0.6,30,OLS,,,,,
20,12,0.6,30,LASSO,0.09523809523809523,0.1,0.0975609756097561,0.0,0.05526315789473684
20,12,0.6,30,KNN,0.05263157894736842,0.05,0.05128205128205128,0.2,0.05
20,12,0.6,31,OLS,,,,,
20,12,0.6,31,LASSO,0.0,0.0,0.0,0.2,0.060526315789473685
20,12,0.6,31,KNN,0.05263157894736842,0.05,0.05128205128205128,0.0,0.05
20,12,0.6,32,OLS,,,,,
20,12,0.6,32,LASSO,0.0,0.0,0.0,0.0,0.02894736842105263
20,12,0.6,32,KNN,0.05263157894736842,0.05,0.05128205128205128,0.4,0.05
20,12,0.6,33,OLS,,,,,
20,12,0.6,33,LASSO,0.0,0.0,0.0,0.0,0.034210526315789476
20,12,0.6,33,KNN,0.05263157894736842,0.05,0.05128205128205128,0.0,0.05
20,12,0.6,34,OLS,,,,,
20,12,0.6,34,LASSO,0.1111111111111111,0.1,0.10526315789473684,0.2,0.04736842105263158
20,12,0.6,34,KNN,0.10526315789473684,0.1,0.10256410256410256,0.2,0.05
20,12,0.6,35,OLS,,,,,
20,12,0.6,35,LASSO,0.0,0.0,0.0,0.0,0.042105263157894736
20,12,0.6,35,KNN,0.05263157894736842,0.05,0.05128205128205128,0.6,0.05
20,12,0.6,36,OLS,,,,,
20,12,0.6,36,LASSO,0.0,0.0,0.0,0.0,0.021052631578947368
20,12,0.6,36,KNN,0.10526315789473684,0.1,0.10256410256410256,0.6,0.05
20,12,0.6,37,OLS,,,,,
20,12,0.6,37,LASSO,0.21428571428571427,0.15,0.17647058823529413,0.4,0.03684210526315789
20,12,0.6,37,KNN,0.10526315789473684,0.1,0.10256410256410256,0.4,0.05
20,12,0.6,38,OLS,,,,,
20,12,0.6,38,LASSO,0.05263157894736842,0.05,0.05128205128205128,0.2,0.05
20,12,0.6,38,KNN,0.05263157894736842,0.05,0.05128205128205128,0.2,0.05
20,12,0.6,39,OLS,,,,,
20,12,0.6,39,LASSO,0.06666666666666667,0.05,0.05714285714285714,0.2,0.039473684210526314
20,12,0.6,39,KNN,0.05263157894736842,0.05,0.05128205128205128,0.4,0.05
20,12,0.6,40,OLS,,,,,
20,12,0.6,40,LASSO,0.11764705882352941,0.1,0.10810810810810811,0.4,0.04473684210526316
