t,true_d,ols_d,las_d
30,0.030612244897959183,0.045714285714285714,0.004897959183673469
35,0.030612244897959183,0.04653061224489796,0.005306122448979592
40,0.030612244897959183,0.044081632653061226,0.004081632653061225
45,0.030612244897959183,0.05020408163265306,0.0069387755102040816
50,0.030612244897959183,0.03959183673469388,0.0020408163265306124
55,0.030612244897959183,0.044489795918367346,0.011020408163265306
60,0.030612244897959183,0.04326530612244898,0.0069387755102040816
65,0.030612244897959183,0.04326530612244898,0.004897959183673469
70,0.030612244897959183,0.04857142857142857,0.0032653061224489797
75,0.030612244897959183,0.052653061224489796,0.002857142857142857
80,0.030612244897959183,0.05836734693877551,0.010612244897959184
85,0.030612244897959183,0.06408163265306123,0.015102040816326531
90,0.030612244897959183,0.05959183673469388,0.0024489795918367346
95,0.030612244897959183,0.053877551020408164,0.015510204081632653
100,0.030612244897959183,0.05755102040816327,0.0032653061224489797
105,0.030612244897959183,0.062448979591836734,0.015102040816326531
110,0.030612244897959183,0.0563265306122449,0.003673469387755102
115,0.030612244897959183,0.052653061224489796,0.003673469387755102
120,0.030612244897959183,0.04897959183673469,0.006122448979591836
125,0.030612244897959183,0.052653061224489796,0.004489795918367347
130,0.030612244897959183,0.0563265306122449,0.004489795918367347
135,0.030612244897959183,0.054285714285714284,0.0069387755102040816
140,0.030612244897959183,0.05102040816326531,0.004897959183673469
145,0.030612244897959183,0.05551020408163265,0.002857142857142857
150,0.030612244897959183,0.052653061224489796,0.003673469387755102
155,0.030612244897959183,0.054693877551020405,0.017959183673469388
160,0.030612244897959183,0.05673469387755102,0.007346938775510204
165,0.030612244897959183,0.05183673469387755,0.0024489795918367346
170,0.030612244897959183,0.04938775510204082,0.004897959183673469
175,0.030612244897959183,0.05102040816326531,0.004081632653061225
180,0.030612244897959183,0.052244897959183675,0.002857142857142857
185,0.030612244897959183,0.053061224489795916,0.004897959183673469
190,0.030612244897959183,0.053061224489795916,0.009387755102040816
195,0.030612244897959183,0.04979591836734694,0.0032653061224489797
200,0.030612244897959183,0.046122448979591835,0.022448979591836733
205,0.030612244897959183,0.04897959183673469,0.008571428571428572
210,0.030612244897959183,0.052653061224489796,0.004489795918367347
215,0.030612244897959183,0.052653061224489796,0.012244897959183673
220,0.030612244897959183,0.04693877551020408,0.003673469387755102
225,0.030612244897959183,0.044897959183673466,0.003673469387755102
230,0.030612244897959183,0.045714285714285714,0.006122448979591836
235,0.030612244897959183,0.05836734693877551,0.02857142857142857
240,0.030612244897959183,0.05918367346938776,0.006122448979591836
245,0.030612244897959183,0.05142857142857143,0.0069387755102040816
250,0.030612244897959183,0.052653061224489796,0.0020408163265306124
255,0.030612244897959183,0.05510204081632653,0.00816326530612245
260,0.030612244897959183,0.054693877551020405,0.003673469387755102
265,0.030612244897959183,0.0473469387755102,0.006530612244897959
270,0.030612244897959183,0.04897959183673469,0.01183673469387755
275,0.030612244897959183,0.05020408163265306,0.002857142857142857
280,0.030612244897959183,0.0473469387755102,0.01673469387755102
285,0.030612244897959183,0.05510204081632653,0.0069387755102040816
290,0.030612244897959183,0.04857142857142857,0.013877551020408163
295,0.030612244897959183,0.053877551020408164,0.0016326530612244899
300,0.030612244897959183,0.053877551020408164,0.008571428571428572
305,0.030612244897959183,0.05183673469387755,0.0032653061224489797
310,0.030612244897959183,0.04775510204081632,0.004897959183673469
315,0.030612244897959183,0.05020408163265306,0.002857142857142857
320,0.030612244897959183,0.0563265306122449,0.010612244897959184
325,0.030612244897959183,0.053469387755102044,0.003673469387755102
330,0.030612244897959183,0.053061224489795916,0.02
335,0.030612244897959183,0.05510204081632653,0.0236734693877551
340,0.030612244897959183,0.05673469387755102,0.002857142857142857
345,0.030612244897959183,0.05142857142857143,0.0020408163265306124
350,0.030612244897959183,0.053061224489795916,0.004081632653061225
355,0.030612244897959183,0.052653061224489796,0.015918367346938776
360,0.030612244897959183,0.053877551020408164,0.011428571428571429
365,0.030612244897959183,0.052244897959183675,0.003673469387755102
370,0.030612244897959183,0.0473469387755102,0.004897959183673469
375,0.030612244897959183,0.05142857142857143,0.006530612244897959
380,0.030612244897959183,0.05102040816326531,0.005306122448979592
385,0.030612244897959183,0.05795918367346939,0.0069387755102040816
390,0.030612244897959183,0.05020408163265306,0.007346938775510204
395,0.030612244897959183,0.05551020408163265,0.004489795918367347
400,0.12244897959183673,0.052244897959183675,0.015510204081632653
405,0.12244897959183673,0.04857142857142857,0.004897959183673469
410,0.12244897959183673,0.053061224489795916,0.014693877551020407
415,0.12244897959183673,0.05755102040816327,0.007346938775510204
420,0.12244897959183673,0.05673469387755102,0.004897959183673469
425,0.12244897959183673,0.060408163265306125,0.02979591836734694
430,0.12244897959183673,0.06,0.006530612244897959
435,0.12244897959183673,0.054693877551020405,0.004489795918367347
440,0.12244897959183673,0.05510204081632653,0.007346938775510204
445,0.12244897959183673,0.05918367346938776,0.007755102040816327
450,0.12244897959183673,0.06326530612244897,0.005714285714285714
455,0.12244897959183673,0.06285714285714286,0.009795918367346938
460,0.12244897959183673,0.062040816326530614,0.018775510204081632
465,0.12244897959183673,0.05591836734693877,0.005306122448979592
470,0.12244897959183673,0.05673469387755102,0.0032653061224489797
