method,f1,precision,recall,density_true,density_pred,N,T,trial,T_N_ratio,dgp
OLS-TE,0.37254901960784315,0.3333333333333333,0.4222222222222222,0.05172413793103448,0.06551724137931035,30,250,6,8.333333333333334,gaussian
LASSO-TE,0.1568627450980392,0.6666666666666666,0.08888888888888889,0.05172413793103448,0.006896551724137931,30,250,7,8.333333333333334,gaussian
OLS-TE,0.297029702970297,0.26785714285714285,0.3333333333333333,0.05172413793103448,0.06436781609195402,30,250,7,8.333333333333334,gaussian
LASSO-TE,0.0851063829787234,1.0,0.044444444444444446,0.05172413793103448,0.0022988505747126436,30,250,8,8.333333333333334,gaussian
OLS-TE,0.32727272727272727,0.27692307692307694,0.4,0.05172413793103448,0.07471264367816093,30,250,8,8.333333333333334,gaussian
LASSO-TE,0.12244897959183673,0.75,0.06666666666666667,0.05172413793103448,0.004597701149425287,30,250,9,8.333333333333334,gaussian
OLS-TE,0.2807017543859649,0.2318840579710145,0.35555555555555557,0.05172413793103448,0.07931034482758621,30,250,9,8.333333333333334,gaussian
LASSO-TE,0.2962962962962963,0.8888888888888888,0.17777777777777778,0.05172413793103448,0.010344827586206896,30,500,0,16.666666666666668,gaussian
OLS-TE,0.4423076923076923,0.3898305084745763,0.5111111111111111,0.05172413793103448,0.067816091954023,30,500,0,16.666666666666668,gaussian
LASSO-TE,0.3333333333333333,1.0,0.2,0.05172413793103448,0.010344827586206896,30,500,1,16.666666666666668,gaussian
OLS-TE,0.4444444444444444,0.3611111111111111,0.5777777777777777,0.05172413793103448,0.08275862068965517,30,500,1,16.666666666666668,gaussian
LASSO-TE,0.38596491228070173,0.9166666666666666,0.24444444444444444,0.05172413793103448,0.013793103448275862,30,500,2,16.666666666666668,gaussian
OLS-TE,0.5132743362831859,0.4264705882352941,0.6444444444444445,0.05172413793103448,0.07816091954022988,30,500,2,16.666666666666668,gaussian
LASSO-TE,0.2692307692307692,1.0,0.15555555555555556,0.05172413793103448,0.008045977011494253,30,500,3,16.666666666666668,gaussian
OLS-TE,0.45714285714285713,0.4,0.5333333333333333,0.05172413793103448,0.06896551724137931,30,500,3,16.666666666666668,gaussian
LASSO-TE,0.15384615384615385,0.5714285714285714,0.08888888888888889,0.05172413793103448,0.008045977011494253,30,500,4,16.666666666666668,gaussian
OLS-TE,0.42592592592592593,0.36507936507936506,0.5111111111111111,0.05172413793103448,0.07241379310344828,30,500,4,16.666666666666668,gaussian
