method,f1,precision,recall,density_true,density_pred,N,T,trial,T_N_ratio,dgp
LASSO-TE,0.06896551724137931,0.8181818181818182,0.036,0.050505050505050504,0.0022222222222222222,100,250,5,2.5,gaussian
OLS-TE,0.3113456464379947,0.2778649921507064,0.354,0.050505050505050504,0.06434343434343434,100,250,5,2.5,gaussian
LASSO-TE,0.07604562737642585,0.7692307692307693,0.04,0.050505050505050504,0.0026262626262626263,100,250,6,2.5,gaussian
OLS-TE,0.3103448275862069,0.2840531561461794,0.342,0.050505050505050504,0.06080808080808081,100,250,6,2.5,gaussian
LASSO-TE,0.0690978886756238,0.8571428571428571,0.036,0.050505050505050504,0.0021212121212121214,100,250,7,2.5,gaussian
OLS-TE,0.3133393017009848,0.28363047001620745,0.35,0.050505050505050504,0.06232323232323232,100,250,7,2.5,gaussian
LASSO-TE,0.038834951456310676,0.6666666666666666,0.02,0.050505050505050504,0.0015151515151515152,100,250,8,2.5,gaussian
OLS-TE,0.31164069660861593,0.2876480541455161,0.34,0.050505050505050504,0.0596969696969697,100,250,8,2.5,gaussian
LASSO-TE,0.061895551257253385,0.9411764705882353,0.032,0.050505050505050504,0.0017171717171717172,100,250,9,2.5,gaussian
OLS-TE,0.3091703056768559,0.2744186046511628,0.354,0.050505050505050504,0.06515151515151515,100,250,9,2.5,gaussian
LASSO-TE,0.13382899628252787,0.9473684210526315,0.072,0.050505050505050504,0.0038383838383838384,100,500,0,5.0,gaussian
OLS-TE,0.4491114701130856,0.37669376693766937,0.556,0.050505050505050504,0.07454545454545454,100,500,0,5.0,gaussian
LASSO-TE,0.14760147601476015,0.9523809523809523,0.08,0.050505050505050504,0.004242424242424243,100,500,1,5.0,gaussian
OLS-TE,0.44983818770226536,0.37771739130434784,0.556,0.050505050505050504,0.07434343434343435,100,500,1,5.0,gaussian
LASSO-TE,0.13011152416356878,0.9210526315789473,0.07,0.050505050505050504,0.0038383838383838384,100,500,2,5.0,gaussian
OLS-TE,0.47571189279731996,0.4092219020172911,0.568,0.050505050505050504,0.0701010101010101,100,500,2,5.0,gaussian
LASSO-TE,0.14100185528756956,0.9743589743589743,0.076,0.050505050505050504,0.00393939393939394,100,500,3,5.0,gaussian
OLS-TE,0.4520654715510522,0.37037037037037035,0.58,0.050505050505050504,0.07909090909090909,100,500,3,5.0,gaussian
LASSO-TE,0.15129151291512916,0.9761904761904762,0.082,0.050505050505050504,0.004242424242424243,100,500,4,5.0,gaussian
OLS-TE,0.4873015873015873,0.4039473684210526,0.614,0.050505050505050504,0.07676767676767676,100,500,4,5.0,gaussian
LASSO-TE,0.15469613259668508,0.9767441860465116,0.084,0.050505050505050504,0.004343434343434344,100,500,5,5.0,gaussian
OLS-TE,0.47058823529411764,0.3940620782726046,0.584,0.050505050505050504,0.07484848484848484,100,500,5,5.0,gaussian
LASSO-TE,0.1308411214953271,1.0,0.07,0.050505050505050504,0.0035353535353535356,100,500,6,5.0,gaussian
OLS-TE,0.4298605414273995,0.36439499304589706,0.524,0.050505050505050504,0.07262626262626262,100,500,6,5.0,gaussian
LASSO-TE,0.10606060606060606,1.0,0.056,0.050505050505050504,0.0028282828282828283,100,500,7,5.0,gaussian
OLS-TE,0.4467408585055644,0.370712401055409,0.562,0.050505050505050504,0.07656565656565656,100,500,7,5.0,gaussian
LASSO-TE,0.13333333333333333,0.9,0.072,0.050505050505050504,0.00404040404040404,100,500,8,5.0,gaussian
OLS-TE,0.4776357827476038,0.3976063829787234,0.598,0.050505050505050504,0.07595959595959596,100,500,8,5.0,gaussian
LASSO-TE,0.10207939508506617,0.9310344827586207,0.054,0.050505050505050504,0.0029292929292929295,100,500,9,5.0,gaussian
OLS-TE,0.46245733788395904,0.40327380952380953,0.542,0.050505050505050504,0.06787878787878789,100,500,9,5.0,gaussian
LASSO-TE,0.06451612903225806,0.11764705882352941,0.044444444444444446,0.05172413793103448,0.01954022988505747,30,60,0,2.0,garch
OLS-TE,0.14705882352941177,0.10989010989010989,0.2222222222222222,0.05172413793103448,0.10459770114942529,30,60,0,2.0,garch
LASSO-TE,0.1111111111111111,0.3333333333333333,0.06666666666666667,0.05172413793103448,0.010344827586206896,30,60,1,2.0,garch
OLS-TE,0.16363636363636364,0.13846153846153847,0.2,0.05172413793103448,0.07471264367816093,30,60,1,2.0,garch
LASSO-TE,0.07272727272727272,0.2,0.044444444444444446,0.05172413793103448,0.011494252873563218,30,60,2,2.0,garch
OLS-TE,0.10714285714285714,0.08955223880597014,0.13333333333333333,0.05172413793103448,0.07701149425287357,30,60,2,2.0,garch
LASSO-TE,0.14285714285714285,0.36363636363636365,0.08888888888888889,0.05172413793103448,0.01264367816091954,30,60,3,2.0,garch
OLS-TE,0.15503875968992248,0.11904761904761904,0.2222222222222222,0.05172413793103448,0.09655172413793103,30,60,3,2.0,garch
LASSO-TE,0.23333333333333334,0.4666666666666667,0.15555555555555556,0.05172413793103448,0.017241379310344827,30,60,4,2.0,garch
OLS-TE,0.2542372881355932,0.2054794520547945,0.3333333333333333,0.05172413793103448,0.0839080459770115,30,60,4,2.0,garch
LASSO-TE,0.058823529411764705,0.08695652173913043,0.044444444444444446,0.05172413793103448,0.026436781609195402,30,60,5,2.0,garch
OLS-TE,0.10606060606060606,0.08045977011494253,0.15555555555555556,0.05172413793103448,0.1,30,60,5,2.0,garch
LASSO-TE,0.1016949152542373,0.21428571428571427,0.06666666666666667,0.05172413793103448,0.016091954022988506,30,60,6,2.0,garch
OLS-TE,0.14953271028037382,0.12903225806451613,0.17777777777777778,0.05172413793103448,0.07126436781609195,30,60,6,2.0,garch
LASSO-TE,0.10714285714285714,0.2727272727272727,0.06666666666666667,0.05172413793103448,0.01264367816091954,30,60,7,2.0,garch
OLS-TE,0.12962962962962962,0.1111111111111111,0.15555555555555556,0.05172413793103448,0.07241379310344828,30,60,7,2.0,garch
LASSO-TE,0.037037037037037035,0.1111111111111111,0.022222222222222223,0.05172413793103448,0.010344827586206896,30,60,8,2.0,garch
OLS-TE,0.21818181818181817,0.18461538461538463,0.26666666666666666,0.05172413793103448,0.07471264367816093,30,60,8,2.0,garch
LASSO-TE,0.34375,0.5789473684210527,0.24444444444444444,0.05172413793103448,0.021839080459770115,30,60,9,2.0,garch
OLS-TE,0.22388059701492538,0.16853932584269662,0.3333333333333333,0.05172413793103448,0.10229885057471265,30,60,9,2.0,garch
LASSO-TE,0.14814814814814814,0.4444444444444444,0.08888888888888889,0.05172413793103448,0.010344827586206896,30,120,0,4.0,garch
OLS-TE,0.1774193548387097,0.13924050632911392,0.24444444444444444,0.05172413793103448,0.09080459770114943,30,120,0,4.0,garch
LASSO-TE,0.36923076923076925,0.6,0.26666666666666666,0.05172413793103448,0.022988505747126436,30,120,1,4.0,garch
OLS-TE,0.2753623188405797,0.20430107526881722,0.4222222222222222,0.05172413793103448,0.10689655172413794,30,120,1,4.0,garch
LASSO-TE,0.1724137931034483,0.38461538461538464,0.1111111111111111,0.05172413793103448,0.014942528735632184,30,120,2,4.0,garch
OLS-TE,0.17054263565891473,0.13095238095238096,0.24444444444444444,0.05172413793103448,0.09655172413793103,30,120,2,4.0,garch
LASSO-TE,0.2413793103448276,0.5384615384615384,0.15555555555555556,0.05172413793103448,0.014942528735632184,30,120,3,4.0,garch
OLS-TE,0.2191780821917808,0.15841584158415842,0.35555555555555557,0.05172413793103448,0.11609195402298851,30,120,3,4.0,garch
LASSO-TE,0.19607843137254902,0.8333333333333334,0.1111111111111111,0.05172413793103448,0.006896551724137931,30,120,4,4.0,garch
OLS-TE,0.171875,0.13253012048192772,0.24444444444444444,0.05172413793103448,0.09540229885057472,30,120,4,4.0,garch
LASSO-TE,0.07017543859649122,0.16666666666666666,0.044444444444444446,0.05172413793103448,0.013793103448275862,30,120,5,4.0,garch
OLS-TE,0.06722689075630252,0.05405405405405406,0.08888888888888889,0.05172413793103448,0.08505747126436781,30,120,5,4.0,garch
LASSO-TE,0.3389830508474576,0.7142857142857143,0.2222222222222222,0.05172413793103448,0.016091954022988506,30,120,6,4.0,garch
OLS-TE,0.35658914728682173,0.27380952380952384,0.5111111111111111,0.05172413793103448,0.09655172413793103,30,120,6,4.0,garch
LASSO-TE,0.22950819672131148,0.4375,0.15555555555555556,0.05172413793103448,0.01839080459770115,30,120,7,4.0,garch
OLS-TE,0.183206106870229,0.13953488372093023,0.26666666666666666,0.05172413793103448,0.09885057471264368,30,120,7,4.0,garch
LASSO-TE,0.10714285714285714,0.2727272727272727,0.06666666666666667,0.05172413793103448,0.01264367816091954,30,120,8,4.0,garch
OLS-TE,0.18309859154929578,0.13402061855670103,0.28888888888888886,0.05172413793103448,0.11149425287356322,30,120,8,4.0,garch
LASSO-TE,0.4126984126984127,0.7222222222222222,0.28888888888888886,0.05172413793103448,0.020689655172413793,30,120,9,4.0,garch
OLS-TE,0.3013698630136986,0.21782178217821782,0.4888888888888889,0.05172413793103448,0.11609195402298851,30,120,9,4.0,garch
LASSO-TE,0.24242424242424243,0.38095238095238093,0.17777777777777778,0.05172413793103448,0.02413793103448276,30,250,0,8.333333333333334,garch
OLS-TE,0.2236842105263158,0.1588785046728972,0.37777777777777777,0.05172413793103448,0.12298850574712644,30,250,0,8.333333333333334,garch
LASSO-TE,0.5633802816901409,0.7692307692307693,0.4444444444444444,0.05172413793103448,0.029885057471264367,30,250,1,8.333333333333334,garch
OLS-TE,0.2937853107344633,0.19696969696969696,0.5777777777777777,0.05172413793103448,0.15172413793103448,30,250,1,8.333333333333334,garch
LASSO-TE,0.3235294117647059,0.4782608695652174,0.24444444444444444,0.05172413793103448,0.026436781609195402,30,250,2,8.333333333333334,garch
OLS-TE,0.27672955974842767,0.19298245614035087,0.4888888888888889,0.05172413793103448,0.1310344827586207,30,250,2,8.333333333333334,garch
LASSO-TE,0.3283582089552239,0.5,0.24444444444444444,0.05172413793103448,0.02528735632183908,30,250,3,8.333333333333334,garch
OLS-TE,0.1839080459770115,0.12403100775193798,0.35555555555555557,0.05172413793103448,0.1482758620689655,30,250,3,8.333333333333334,garch
LASSO-TE,0.4594594594594595,0.5862068965517241,0.37777777777777777,0.05172413793103448,0.03333333333333333,30,250,4,8.333333333333334,garch
OLS-TE,0.2681564245810056,0.1791044776119403,0.5333333333333333,0.05172413793103448,0.15402298850574714,30,250,4,8.333333333333334,garch
LASSO-TE,0.31746031746031744,0.5555555555555556,0.2222222222222222,0.05172413793103448,0.020689655172413793,30,250,5,8.333333333333334,garch
OLS-TE,0.2676056338028169,0.1958762886597938,0.4222222222222222,0.05172413793103448,0.11149425287356322,30,250,5,8.333333333333334,garch
LASSO-TE,0.3235294117647059,0.4782608695652174,0.24444444444444444,0.05172413793103448,0.026436781609195402,30,250,6,8.333333333333334,garch
OLS-TE,0.2891566265060241,0.19834710743801653,0.5333333333333333,0.05172413793103448,0.13908045977011493,30,250,6,8.333333333333334,garch
LASSO-TE,0.27692307692307694,0.45,0.2,0.05172413793103448,0.022988505747126436,30,250,7,8.333333333333334,garch
OLS-TE,0.20540540540540542,0.1357142857142857,0.4222222222222222,0.05172413793103448,0.16091954022988506,30,250,7,8.333333333333334,garch
LASSO-TE,0.4864864864864865,0.6206896551724138,0.4,0.05172413793103448,0.03333333333333333,30,250,8,8.333333333333334,garch
OLS-TE,0.2978723404255319,0.1958041958041958,0.6222222222222222,0.05172413793103448,0.16436781609195403,30,250,8,8.333333333333334,garch
LASSO-TE,0.40625,0.6842105263157895,0.28888888888888886,0.05172413793103448,0.021839080459770115,30,250,9,8.333333333333334,garch
OLS-TE,0.2876712328767123,0.2079207920792079,0.4666666666666667,0.05172413793103448,0.11609195402298851,30,250,9,8.333333333333334,garch
LASSO-TE,0.5185185185185185,0.5833333333333334,0.4666666666666667,0.05172413793103448,0.041379310344827586,30,500,0,16.666666666666668,garch
OLS-TE,0.24369747899159663,0.15025906735751296,0.6444444444444445,0.05172413793103448,0.2218390804597701,30,500,0,16.666666666666668,garch
LASSO-TE,0.5822784810126582,0.6764705882352942,0.5111111111111111,0.05172413793103448,0.03908045977011494,30,500,1,16.666666666666668,garch
OLS-TE,0.29333333333333333,0.18333333333333332,0.7333333333333333,0.05172413793103448,0.20689655172413793,30,500,1,16.666666666666668,garch
LASSO-TE,0.39436619718309857,0.5384615384615384,0.3111111111111111,0.05172413793103448,0.029885057471264367,30,500,2,16.666666666666668,garch
OLS-TE,0.27906976744186046,0.1889763779527559,0.5333333333333333,0.05172413793103448,0.14597701149425288,30,500,2,16.666666666666668,garch
LASSO-TE,0.5945945945945946,0.7586206896551724,0.4888888888888889,0.05172413793103448,0.03333333333333333,30,500,3,16.666666666666668,garch
OLS-TE,0.3236994219653179,0.21875,0.6222222222222222,0.05172413793103448,0.1471264367816092,30,500,3,16.666666666666668,garch
LASSO-TE,0.4864864864864865,0.6206896551724138,0.4,0.05172413793103448,0.03333333333333333,30,500,4,16.666666666666668,garch
OLS-TE,0.3023255813953488,0.2047244094488189,0.5777777777777777,0.05172413793103448,0.14597701149425288,30,500,4,16.666666666666668,garch
LASSO-TE,0.5316455696202531,0.6176470588235294,0.4666666666666667,0.05172413793103448,0.03908045977011494,30,500,5,16.666666666666668,garch
OLS-TE,0.378698224852071,0.25806451612903225,0.7111111111111111,0.05172413793103448,0.1425287356321839,30,500,5,16.666666666666668,garch
LASSO-TE,0.5142857142857142,0.72,0.4,0.05172413793103448,0.028735632183908046,30,500,6,16.666666666666668,garch
OLS-TE,0.22510822510822512,0.13978494623655913,0.5777777777777777,0.05172413793103448,0.21379310344827587,30,500,6,16.666666666666668,garch
LASSO-TE,0.5934065934065934,0.5869565217391305,0.6,0.05172413793103448,0.052873563218390804,30,500,7,16.666666666666668,garch
OLS-TE,0.24060150375939848,0.14479638009049775,0.7111111111111111,0.05172413793103448,0.2540229885057471,30,500,7,16.666666666666668,garch
LASSO-TE,0.5853658536585366,0.6486486486486487,0.5333333333333333,0.05172413793103448,0.04252873563218391,30,500,8,16.666666666666668,garch
OLS-TE,0.27835051546391754,0.18120805369127516,0.6,0.05172413793103448,0.17126436781609194,30,500,8,16.666666666666668,garch
LASSO-TE,0.48,0.6,0.4,0.05172413793103448,0.034482758620689655,30,500,9,16.666666666666668,garch
OLS-TE,0.21390374331550802,0.14084507042253522,0.4444444444444444,0.05172413793103448,0.1632183908045977,30,500,9,16.666666666666668,garch
LASSO-TE,0.0958904109589041,0.3333333333333333,0.056,0.05102040816326531,0.008571428571428572,50,60,0,1.2,garch
OLS-TE,0.13968253968253969,0.11578947368421053,0.176,0.05102040816326531,0.07755102040816327,50,60,0,1.2,garch
LASSO-TE,0.13953488372093023,0.2553191489361702,0.096,0.05102040816326531,0.019183673469387756,50,60,1,1.2,garch
OLS-TE,0.16025641025641027,0.13368983957219252,0.2,0.05102040816326531,0.0763265306122449,50,60,1,1.2,garch
LASSO-TE,0.058394160583941604,0.3333333333333333,0.032,0.05102040816326531,0.004897959183673469,50,60,2,1.2,garch
OLS-TE,0.1267605633802817,0.11320754716981132,0.144,0.05102040816326531,0.06489795918367347,50,60,2,1.2,garch
LASSO-TE,0.11695906432748537,0.21739130434782608,0.08,0.05102040816326531,0.018775510204081632,50,60,3,1.2,garch
OLS-TE,0.1308411214953271,0.10714285714285714,0.168,0.05102040816326531,0.08,50,60,3,1.2,garch
LASSO-TE,0.10256410256410256,0.25806451612903225,0.064,0.05102040816326531,0.012653061224489797,50,60,4,1.2,garch
OLS-TE,0.15789473684210525,0.12442396313364056,0.216,0.05102040816326531,0.08857142857142856,50,60,4,1.2,garch
LASSO-TE,0.11392405063291139,0.2727272727272727,0.072,0.05102040816326531,0.013469387755102041,50,60,5,1.2,garch
OLS-TE,0.17647058823529413,0.13953488372093023,0.24,0.05102040816326531,0.08775510204081632,50,60,5,1.2,garch
LASSO-TE,0.057971014492753624,0.3076923076923077,0.032,0.05102040816326531,0.005306122448979592,50,60,6,1.2,garch
OLS-TE,0.13725490196078433,0.11602209944751381,0.168,0.05102040816326531,0.07387755102040816,50,60,6,1.2,garch
LASSO-TE,0.0425531914893617,0.1875,0.024,0.05102040816326531,0.006530612244897959,50,60,7,1.2,garch
OLS-TE,0.20189274447949526,0.16666666666666666,0.256,0.05102040816326531,0.0783673469387755,50,60,7,1.2,garch
LASSO-TE,0.06172839506172839,0.13513513513513514,0.04,0.05102040816326531,0.015102040816326531,50,60,8,1.2,garch
OLS-TE,0.1461794019933555,0.125,0.176,0.05102040816326531,0.07183673469387755,50,60,8,1.2,garch
LASSO-TE,0.06493506493506493,0.1724137931034483,0.04,0.05102040816326531,0.01183673469387755,50,60,9,1.2,garch
OLS-TE,0.12944983818770225,0.10869565217391304,0.16,0.05102040816326531,0.07510204081632653,50,60,9,1.2,garch
LASSO-TE,0.22929936305732485,0.5625,0.144,0.05102040816326531,0.013061224489795919,50,120,0,2.4,garch
OLS-TE,0.20207253886010362,0.14942528735632185,0.312,0.05102040816326531,0.10653061224489796,50,120,0,2.4,garch
LASSO-TE,0.2360248447204969,0.5277777777777778,0.152,0.05102040816326531,0.014693877551020407,50,120,1,2.4,garch
OLS-TE,0.1928721174004193,0.13068181818181818,0.368,0.05102040816326531,0.1436734693877551,50,120,1,2.4,garch
LASSO-TE,0.19607843137254902,0.5357142857142857,0.12,0.05102040816326531,0.011428571428571429,50,120,2,2.4,garch
OLS-TE,0.2537313432835821,0.18411552346570398,0.408,0.05102040816326531,0.11306122448979591,50,120,2,2.4,garch
LASSO-TE,0.14285714285714285,0.6666666666666666,0.08,0.05102040816326531,0.006122448979591836,50,120,3,2.4,garch
OLS-TE,0.2054380664652568,0.1650485436893204,0.272,0.05102040816326531,0.08408163265306122,50,120,3,2.4,garch
LASSO-TE,0.2,0.45714285714285713,0.128,0.05102040816326531,0.014285714285714285,50,120,4,2.4,garch
OLS-TE,0.2268041237113402,0.16730038022813687,0.352,0.05102040816326531,0.1073469387755102,50,120,4,2.4,garch
LASSO-TE,0.20134228187919462,0.625,0.12,0.05102040816326531,0.009795918367346938,50,120,5,2.4,garch
OLS-TE,0.2,0.1471698113207547,0.312,0.05102040816326531,0.10816326530612246,50,120,5,2.4,garch
LASSO-TE,0.2631578947368421,0.7407407407407407,0.16,0.05102040816326531,0.011020408163265306,50,120,6,2.4,garch
OLS-TE,0.24861878453038674,0.189873417721519,0.36,0.05102040816326531,0.09673469387755101,50,120,6,2.4,garch
LASSO-TE,0.2111801242236025,0.4722222222222222,0.136,0.05102040816326531,0.014693877551020407,50,120,7,2.4,garch
OLS-TE,0.19090909090909092,0.13333333333333333,0.336,0.05102040816326531,0.12857142857142856,50,120,7,2.4,garch
LASSO-TE,0.12413793103448276,0.45,0.072,0.05102040816326531,0.00816326530612245,50,120,8,2.4,garch
OLS-TE,0.2047244094488189,0.15234375,0.312,0.05102040816326531,0.10448979591836735,50,120,8,2.4,garch
LASSO-TE,0.12413793103448276,0.45,0.072,0.05102040816326531,0.00816326530612245,50,120,9,2.4,garch
OLS-TE,0.19248826291079812,0.1362126245847176,0.328,0.05102040816326531,0.12285714285714286,50,120,9,2.4,garch
LASSO-TE,0.4342857142857143,0.76,0.304,0.05102040816326531,0.02040816326530612,50,250,0,5.0,garch
OLS-TE,0.22580645161290322,0.1414141414141414,0.56,0.05102040816326531,0.20204081632653062,50,250,0,5.0,garch
LASSO-TE,0.35,0.8,0.224,0.05102040816326531,0.014285714285714285,50,250,1,5.0,garch
OLS-TE,0.26634382566585957,0.1909722222222222,0.44,0.05102040816326531,0.11755102040816326,50,250,1,5.0,garch
LASSO-TE,0.34355828220858897,0.7368421052631579,0.224,0.05102040816326531,0.015510204081632653,50,250,2,5.0,garch
OLS-TE,0.25523012552301255,0.17280453257790368,0.488,0.05102040816326531,0.14408163265306123,50,250,2,5.0,garch
LASSO-TE,0.39263803680981596,0.8421052631578947,0.256,0.05102040816326531,0.015510204081632653,50,250,3,5.0,garch
OLS-TE,0.24455611390284757,0.15466101694915255,0.584,0.05102040816326531,0.1926530612244898,50,250,3,5.0,garch
LASSO-TE,0.43373493975903615,0.8780487804878049,0.288,0.05102040816326531,0.01673469387755102,50,250,4,5.0,garch
OLS-TE,0.2591792656587473,0.17751479289940827,0.48,0.05102040816326531,0.13795918367346938,50,250,4,5.0,garch
LASSO-TE,0.3253012048192771,0.6585365853658537,0.216,0.05102040816326531,0.01673469387755102,50,250,5,5.0,garch
OLS-TE,0.28368794326241137,0.20134228187919462,0.48,0.05102040816326531,0.12163265306122449,50,250,5,5.0,garch
LASSO-TE,0.36129032258064514,0.9333333333333333,0.224,0.05102040816326531,0.012244897959183673,50,250,6,5.0,garch
OLS-TE,0.272108843537415,0.189873417721519,0.48,0.05102040816326531,0.12897959183673469,50,250,6,5.0,garch
LASSO-TE,0.2929936305732484,0.71875,0.184,0.05102040816326531,0.013061224489795919,50,250,7,5.0,garch
OLS-TE,0.25339366515837103,0.17665615141955837,0.448,0.05102040816326531,0.1293877551020408,50,250,7,5.0,garch
LASSO-TE,0.4074074074074074,0.8918918918918919,0.264,0.05102040816326531,0.015102040816326531,50,250,8,5.0,garch
OLS-TE,0.2956120092378753,0.2077922077922078,0.512,0.05102040816326531,0.12571428571428572,50,250,8,5.0,garch
LASSO-TE,0.3473053892215569,0.6904761904761905,0.232,0.05102040816326531,0.017142857142857144,50,250,9,5.0,garch
OLS-TE,0.27571115973741794,0.1897590361445783,0.504,0.05102040816326531,0.13551020408163264,50,250,9,5.0,garch
LASSO-TE,0.5151515151515151,0.6986301369863014,0.408,0.05102040816326531,0.02979591836734694,50,500,0,10.0,garch
OLS-TE,0.15267175572519084,0.0866738894907909,0.64,0.05102040816326531,0.37673469387755104,50,500,0,10.0,garch
LASSO-TE,0.4421052631578947,0.6461538461538462,0.336,0.05102040816326531,0.026530612244897958,50,500,1,10.0,garch
OLS-TE,0.20871862615587847,0.125,0.632,0.05102040816326531,0.25795918367346937,50,500,1,10.0,garch
LASSO-TE,0.5786802030456852,0.7916666666666666,0.456,0.05102040816326531,0.029387755102040815,50,500,2,10.0,garch
OLS-TE,0.18818380743982493,0.10899873257287707,0.688,0.05102040816326531,0.3220408163265306,50,500,2,10.0,garch
LASSO-TE,0.5425531914893617,0.8095238095238095,0.408,0.05102040816326531,0.025714285714285714,50,500,3,10.0,garch
OLS-TE,0.20196353436185133,0.12244897959183673,0.576,0.05102040816326531,0.24,50,500,3,10.0,garch
LASSO-TE,0.6528497409326425,0.9264705882352942,0.504,0.05102040816326531,0.027755102040816326,50,500,4,10.0,garch
OLS-TE,0.2103825136612022,0.12685337726523888,0.616,0.05102040816326531,0.24775510204081633,50,500,4,10.0,garch
LASSO-TE,0.5444444444444444,0.8909090909090909,0.392,0.05102040816326531,0.022448979591836733,50,500,5,10.0,garch
OLS-TE,0.20718232044198895,0.12520868113522537,0.6,0.05102040816326531,0.24448979591836734,50,500,5,10.0,garch
LASSO-TE,0.5789473684210527,0.8461538461538461,0.44,0.05102040816326531,0.026530612244897958,50,500,6,10.0,garch
OLS-TE,0.22720897615708274,0.1377551020408163,0.648,0.05102040816326531,0.24,50,500,6,10.0,garch
LASSO-TE,0.6598984771573604,0.9027777777777778,0.52,0.05102040816326531,0.029387755102040815,50,500,7,10.0,garch
OLS-TE,0.28431372549019607,0.17864476386036962,0.696,0.05102040816326531,0.19877551020408163,50,500,7,10.0,garch
LASSO-TE,0.5588235294117647,0.7215189873417721,0.456,0.05102040816326531,0.03224489795918367,50,500,8,10.0,garch
OLS-TE,0.21195652173913043,0.1276595744680851,0.624,0.05102040816326531,0.2493877551020408,50,500,8,10.0,garch
LASSO-TE,0.5240641711229946,0.7903225806451613,0.392,0.05102040816326531,0.025306122448979593,50,500,9,10.0,garch
OLS-TE,0.2222222222222222,0.13556338028169015,0.616,0.05102040816326531,0.23183673469387756,50,500,9,10.0,garch
LASSO-TE,0.041353383458646614,0.34375,0.022,0.050505050505050504,0.0032323232323232323,100,60,0,0.6,garch
OLS-TE,0.14499252615844543,0.11575178997613365,0.194,0.050505050505050504,0.08464646464646465,100,60,0,0.6,garch
LASSO-TE,0.06049149338374291,0.5517241379310345,0.032,0.050505050505050504,0.0029292929292929295,100,60,1,0.6,garch
OLS-TE,0.18037518037518038,0.14108352144469527,0.25,0.050505050505050504,0.08949494949494949,100,60,1,0.6,garch
LASSO-TE,0.06779661016949153,0.5806451612903226,0.036,0.050505050505050504,0.0031313131313131315,100,60,2,0.6,garch
OLS-TE,0.15168539325842698,0.11688311688311688,0.216,0.050505050505050504,0.09333333333333334,100,60,2,0.6,garch
LASSO-TE,0.049429657794676805,0.5,0.026,0.050505050505050504,0.0026262626262626263,100,60,3,0.6,garch
OLS-TE,0.13039934800325997,0.11004126547455295,0.16,0.050505050505050504,0.07343434343434344,100,60,3,0.6,garch
LASSO-TE,0.07850467289719626,0.6,0.042,0.050505050505050504,0.0035353535353535356,100,60,4,0.6,garch
OLS-TE,0.15930485155684287,0.12485811577752554,0.22,0.050505050505050504,0.088989898989899,100,60,4,0.6,garch
LASSO-TE,0.0497131931166348,0.5652173913043478,0.026,0.050505050505050504,0.0023232323232323234,100,60,5,0.6,garch
OLS-TE,0.16417910447761194,0.13095238095238096,0.22,0.050505050505050504,0.08484848484848485,100,60,5,0.6,garch
LASSO-TE,0.03773584905660377,0.3333333333333333,0.02,0.050505050505050504,0.0030303030303030303,100,60,6,0.6,garch
OLS-TE,0.15615141955835962,0.12890625,0.198,0.050505050505050504,0.07757575757575758,100,60,6,0.6,garch
LASSO-TE,0.075046904315197,0.6060606060606061,0.04,0.050505050505050504,0.0033333333333333335,100,60,7,0.6,garch
OLS-TE,0.14913657770800628,0.1227390180878553,0.19,0.050505050505050504,0.07818181818181819,100,60,7,0.6,garch
LASSO-TE,0.02702702702702703,0.3888888888888889,0.014,0.050505050505050504,0.0018181818181818182,100,60,8,0.6,garch
OLS-TE,0.14241960183767227,0.11538461538461539,0.186,0.050505050505050504,0.08141414141414141,100,60,8,0.6,garch
LASSO-TE,0.02697495183044316,0.3684210526315789,0.014,0.050505050505050504,0.0019191919191919192,100,60,9,0.6,garch
OLS-TE,0.13953488372093023,0.11931818181818182,0.168,0.050505050505050504,0.07111111111111111,100,60,9,0.6,garch
LASSO-TE,0.12222222222222222,0.825,0.066,0.050505050505050504,0.00404040404040404,100,120,0,1.2,garch
OLS-TE,0.2039972432804962,0.15562565720294427,0.296,0.050505050505050504,0.09606060606060605,100,120,0,1.2,garch
LASSO-TE,0.10018552875695733,0.6923076923076923,0.054,0.050505050505050504,0.00393939393939394,100,120,1,1.2,garch
OLS-TE,0.22593068035943517,0.166351606805293,0.352,0.050505050505050504,0.10686868686868686,100,120,1,1.2,garch
LASSO-TE,0.12154696132596685,0.7674418604651163,0.066,0.050505050505050504,0.004343434343434344,100,120,2,1.2,garch
OLS-TE,0.19304152637485972,0.13416536661466458,0.344,0.050505050505050504,0.1294949494949495,100,120,2,1.2,garch
LASSO-TE,0.12222222222222222,0.825,0.066,0.050505050505050504,0.00404040404040404,100,120,3,1.2,garch
OLS-TE,0.2091346153846154,0.14948453608247422,0.348,0.050505050505050504,0.11757575757575757,100,120,3,1.2,garch
LASSO-TE,0.13978494623655913,0.6724137931034483,0.078,0.050505050505050504,0.005858585858585859,100,120,4,1.2,garch
OLS-TE,0.1906779661016949,0.12968299711815562,0.36,0.050505050505050504,0.1402020202020202,100,120,4,1.2,garch
LASSO-TE,0.12087912087912088,0.717391304347826,0.066,0.050505050505050504,0.004646464646464647,100,120,5,1.2,garch
OLS-TE,0.2286096256684492,0.1716867469879518,0.342,0.050505050505050504,0.1006060606060606,100,120,5,1.2,garch
LASSO-TE,0.061068702290076333,0.6666666666666666,0.032,0.050505050505050504,0.0024242424242424242,100,120,6,1.2,garch
OLS-TE,0.19770408163265307,0.1451310861423221,0.31,0.050505050505050504,0.10787878787878788,100,120,6,1.2,garch
