precision,recall,f1,hub_recovery,kendall_tau,density_true,density_pred,N,T,T_N,trial,method
0.6,0.06666666666666667,0.12,0.2,0.021081851067789197,0.05172413793103448,0.005747126436781609,30,120,4.0,6,Oracle
1.0,0.022222222222222223,0.043478260869565216,0.4,0.1422486355980328,0.05172413793103448,0.0011494252873563218,30,120,4.0,6,Estimated (PCA)
0.2857142857142857,0.044444444444444446,0.07692307692307693,0.4,0.24001016321642055,0.05172413793103448,0.008045977011494253,30,120,4.0,7,Raw
0.4,0.044444444444444446,0.08,0.0,-0.1579844765058516,0.05172413793103448,0.005747126436781609,30,120,4.0,7,Oracle
1.0,0.022222222222222223,0.043478260869565216,0.2,0.08092375705659441,0.05172413793103448,0.0011494252873563218,30,120,4.0,7,Estimated (PCA)
0.5,0.016,0.031007751937984496,0.0,-0.12374264047222851,0.05102040816326531,0.0016326530612244899,50,250,5.0,0,Raw
0.8181818181818182,0.072,0.1323529411764706,0.0,0.1909567616983672,0.05102040816326531,0.004489795918367347,50,250,5.0,0,Oracle
1.0,0.048,0.0916030534351145,0.0,-0.00837133402351067,0.05102040816326531,0.0024489795918367346,50,250,5.0,0,Estimated (PCA)
0.6666666666666666,0.064,0.11678832116788321,0.2,0.19791274613649143,0.05102040816326531,0.004897959183673469,50,250,5.0,1,Raw
0.75,0.072,0.13138686131386862,0.4,0.18415095206458365,0.05102040816326531,0.004897959183673469,50,250,5.0,1,Oracle
0.5714285714285714,0.032,0.06060606060606061,0.0,-0.034740102417446905,0.05102040816326531,0.002857142857142857,50,250,5.0,1,Estimated (PCA)
0.45454545454545453,0.04,0.07352941176470588,0.0,0.15975185791268537,0.05102040816326531,0.004489795918367347,50,250,5.0,2,Raw
0.7857142857142857,0.088,0.15827338129496402,0.2,-0.005677037936865532,0.05102040816326531,0.005714285714285714,50,250,5.0,2,Oracle
0.625,0.04,0.07518796992481203,0.0,-0.022928838679781804,0.05102040816326531,0.0032653061224489797,50,250,5.0,2,Estimated (PCA)
0.38461538461538464,0.04,0.07246376811594203,0.2,0.10656877236982279,0.05102040816326531,0.005306122448979592,50,250,5.0,3,Raw
0.8888888888888888,0.064,0.11940298507462686,0.0,0.14393208008351976,0.05102040816326531,0.003673469387755102,50,250,5.0,3,Oracle
0.6363636363636364,0.056,0.10294117647058823,0.2,0.08594128804180488,0.05102040816326531,0.004489795918367347,50,250,5.0,3,Estimated (PCA)
0.45,0.072,0.12413793103448276,0.0,-0.06736794929202353,0.05102040816326531,0.00816326530612245,50,250,5.0,4,Raw
0.75,0.072,0.13138686131386862,0.4,0.033265179777707,0.05102040816326531,0.004897959183673469,50,250,5.0,4,Oracle
0.6,0.024,0.046153846153846156,0.2,0.017231217860033024,0.05102040816326531,0.0020408163265306124,50,250,5.0,4,Estimated (PCA)
0.375,0.024,0.045112781954887216,0.2,0.25682978499687,0.05102040816326531,0.0032653061224489797,50,250,5.0,5,Raw
0.625,0.04,0.07518796992481203,0.2,0.1514634492892204,0.05102040816326531,0.0032653061224489797,50,250,5.0,5,Oracle
