trial,method,true_d1,true_d2,est_d1,est_d2,true_delta,est_delta,correct_direction
20,OLS,0.030612244897959183,0.12244897959183673,0.05102040816326531,0.07265306122448979,0.09183673469387754,0.021632653061224486,1
20,LASSO,0.030612244897959183,0.12244897959183673,0.0012244897959183673,0.004489795918367347,0.09183673469387754,0.0032653061224489797,1
21,OLS,0.030612244897959183,0.12244897959183673,0.05020408163265306,0.07510204081632653,0.09183673469387754,0.02489795918367347,1
21,LASSO,0.030612244897959183,0.12244897959183673,0.002857142857142857,0.006530612244897959,0.09183673469387754,0.0036734693877551023,1
22,OLS,0.030612244897959183,0.12244897959183673,0.05836734693877551,0.07510204081632653,0.09183673469387754,0.01673469387755102,1
22,LASSO,0.030612244897959183,0.12244897959183673,0.0,0.0024489795918367346,0.09183673469387754,0.0024489795918367346,1
23,OLS,0.030612244897959183,0.12244897959183673,0.04938775510204082,0.062040816326530614,0.09183673469387754,0.012653061224489795,1
23,LASSO,0.030612244897959183,0.12244897959183673,0.0024489795918367346,0.003673469387755102,0.09183673469387754,0.0012244897959183673,1
24,OLS,0.030612244897959183,0.12244897959183673,0.05020408163265306,0.07918367346938776,0.09183673469387754,0.0289795918367347,1
24,LASSO,0.030612244897959183,0.12244897959183673,0.00040816326530612246,0.003673469387755102,0.09183673469387754,0.0032653061224489793,1
25,OLS,0.030612244897959183,0.12244897959183673,0.054693877551020405,0.06448979591836734,0.09183673469387754,0.009795918367346938,1
25,LASSO,0.030612244897959183,0.12244897959183673,0.002857142857142857,0.0020408163265306124,0.09183673469387754,-0.0008163265306122447,0
26,OLS,0.030612244897959183,0.12244897959183673,0.04897959183673469,0.06693877551020408,0.09183673469387754,0.017959183673469388,1
26,LASSO,0.030612244897959183,0.12244897959183673,0.0024489795918367346,0.0024489795918367346,0.09183673469387754,0.0,0
27,OLS,0.030612244897959183,0.12244897959183673,0.04816326530612245,0.07714285714285714,0.09183673469387754,0.028979591836734687,1
27,LASSO,0.030612244897959183,0.12244897959183673,0.0008163265306122449,0.0024489795918367346,0.09183673469387754,0.0016326530612244896,1
28,OLS,0.030612244897959183,0.12244897959183673,0.04897959183673469,0.0636734693877551,0.09183673469387754,0.014693877551020411,1
28,LASSO,0.030612244897959183,0.12244897959183673,0.0012244897959183673,0.0020408163265306124,0.09183673469387754,0.0008163265306122451,1
29,OLS,0.030612244897959183,0.12244897959183673,0.0473469387755102,0.06857142857142857,0.09183673469387754,0.021224489795918372,1
29,LASSO,0.030612244897959183,0.12244897959183673,0.0012244897959183673,0.0032653061224489797,0.09183673469387754,0.0020408163265306124,1
30,OLS,0.030612244897959183,0.12244897959183673,0.05551020408163265,0.07183673469387755,0.09183673469387754,0.0163265306122449,1
30,LASSO,0.030612244897959183,0.12244897959183673,0.0020408163265306124,0.005306122448979592,0.09183673469387754,0.0032653061224489797,1
31,OLS,0.030612244897959183,0.12244897959183673,0.05551020408163265,0.08244897959183674,0.09183673469387754,0.026938775510204085,1
31,LASSO,0.030612244897959183,0.12244897959183673,0.0016326530612244899,0.0032653061224489797,0.09183673469387754,0.0016326530612244899,1
32,OLS,0.030612244897959183,0.12244897959183673,0.0473469387755102,0.08326530612244898,0.09183673469387754,0.035918367346938776,1
32,LASSO,0.030612244897959183,0.12244897959183673,0.0008163265306122449,0.004897959183673469,0.09183673469387754,0.004081632653061224,1
33,OLS,0.030612244897959183,0.12244897959183673,0.05510204081632653,0.06857142857142857,0.09183673469387754,0.013469387755102043,1
33,LASSO,0.030612244897959183,0.12244897959183673,0.0020408163265306124,0.0024489795918367346,0.09183673469387754,0.00040816326530612214,1
34,OLS,0.030612244897959183,0.12244897959183673,0.053061224489795916,0.08571428571428572,0.09183673469387754,0.0326530612244898,1
34,LASSO,0.030612244897959183,0.12244897959183673,0.0024489795918367346,0.005306122448979592,0.09183673469387754,0.0028571428571428576,1
35,OLS,0.030612244897959183,0.12244897959183673,0.04857142857142857,0.06571428571428571,0.09183673469387754,0.01714285714285714,1
35,LASSO,0.030612244897959183,0.12244897959183673,0.0020408163265306124,0.0024489795918367346,0.09183673469387754,0.00040816326530612214,1
36,OLS,0.030612244897959183,0.12244897959183673,0.04857142857142857,0.07020408163265306,0.09183673469387754,0.021632653061224486,1
