formation_date,pred_start,pred_end,mean_te,max_te,p75_te,density,n_stocks
2021-07-23,2021-07-26,2021-07-30,2.416474666136928e-06,7.163475663504294e-05,3.1304766413496605e-06,0.2475,100
2021-07-30,2021-08-02,2021-08-06,2.3672619212765766e-06,7.171605661330821e-05,3.1052025532175814e-06,0.2475,100
2021-08-06,2021-08-09,2021-08-13,2.452887038776999e-06,7.443885572800234e-05,3.223036431508243e-06,0.2475,100
2021-08-13,2021-08-16,2021-08-20,2.405408538214493e-06,7.590441606223737e-05,3.192498936239296e-06,0.2475,100
2021-08-20,2021-08-23,2021-08-27,2.3992166187404006e-06,7.42629986615159e-05,3.1835872658733047e-06,0.2475,100
2021-08-27,2021-08-30,2021-09-03,2.3703953303005133e-06,7.663115838827127e-05,3.1592357425502e-06,0.2475,100
2021-09-03,2021-09-07,2021-09-13,2.3694122896545753e-06,3.837596755735333e-05,3.247143849978985e-06,0.24752576267727783,99
2021-09-13,2021-09-14,2021-09-20,2.459672282077466e-06,4.558554527372756e-05,3.2947608573062164e-06,0.2475,100
2021-09-20,2021-09-21,2021-09-27,2.4288471464728706e-06,4.827667057600071e-05,3.2549267126057127e-06,0.2475,100
2021-09-27,2021-09-28,2021-10-04,2.3584601190100816e-06,4.686572223529038e-05,3.2044825959418816e-06,0.2475,100
2021-10-04,2021-10-05,2021-10-11,2.371606487371522e-06,6.175254545335299e-05,3.108517800243967e-06,0.2475,100
2021-10-11,2021-10-12,2021-10-18,2.385135752763351e-06,5.917214694842531e-05,3.144675914641538e-06,0.2475,100
2021-10-18,2021-10-19,2021-10-25,2.428330634210799e-06,5.2770724849585584e-05,3.1334975969586426e-06,0.2475,100
2021-10-25,2021-10-26,2021-11-01,2.4056201926262617e-06,4.996843044387247e-05,3.150172148415762e-06,0.2475,100
2021-11-01,2021-11-02,2021-11-08,2.4694788964753815e-06,3.944969814429423e-05,3.27681221965778e-06,0.24752576267727783,99
2021-11-08,2021-11-09,2021-11-15,2.5172062895460737e-06,4.290490042221117e-05,3.3262962902162184e-06,0.24752576267727783,99
2021-11-15,2021-11-16,2021-11-22,2.494731313138894e-06,9.005025269593454e-05,3.3403626312554887e-06,0.2475,100
2021-11-22,2021-11-23,2021-11-30,2.565544080495229e-06,9.741506977404353e-05,3.395900463365163e-06,0.2475,100
2021-11-30,2021-12-01,2021-12-07,2.5646744470963936e-06,9.31860147582165e-05,3.458079687913799e-06,0.2475,100
2021-12-07,2021-12-08,2021-12-14,2.7022422678421712e-06,9.296657580970457e-05,3.540351224518254e-06,0.24752576267727783,99
2021-12-14,2021-12-15,2021-12-21,2.6396664750959184e-06,9.272379710791066e-05,3.4234875912113363e-06,0.24752576267727783,99
2021-12-21,2021-12-22,2021-12-29,2.5532289554656954e-06,9.436868453816174e-05,3.334436046206424e-06,0.24752576267727783,99
2021-12-29,2021-12-30,2022-01-05,2.578460148143113e-06,9.340863710659555e-05,3.3367482360841936e-06,0.2475,100
2022-01-05,2022-01-06,2022-01-12,2.5563713997659553e-06,4.713365371098276e-05,3.3927634498615954e-06,0.2475,100
2022-01-12,2022-01-13,2022-01-20,2.513273898446912e-06,4.714206111413367e-05,3.3485784797838002e-06,0.2475,100
2022-01-20,2022-01-21,2022-01-27,2.475938198147244e-06,4.4467745569680856e-05,3.2925331696023503e-06,0.2475,100
2022-01-27,2022-01-28,2022-02-03,2.4482369524969004e-06,3.658043276718063e-05,3.2657956355869448e-06,0.2475,100
2022-02-03,2022-02-04,2022-02-10,2.6265681148251652e-06,5.646146256771236e-05,3.4784528339590625e-06,0.2475,100
2022-02-10,2022-02-11,2022-02-17,2.513640908897362e-06,6.564708576040528e-05,3.327696460395029e-06,0.2475,100
2022-02-17,2022-02-18,2022-02-25,2.4606962179938324e-06,6.821999973876801e-05,3.316959621896755e-06,0.2475,100
2022-02-25,2022-02-28,2022-03-04,2.5938755575200312e-06,8.002838250330286e-05,3.4243954308889093e-06,0.2475,100
2022-03-04,2022-03-07,2022-03-11,2.5258604482349503e-06,7.56395247888648e-05,3.2821468557141387e-06,0.2475,100
2022-03-11,2022-03-14,2022-03-18,2.506361757378421e-06,7.963253314982958e-05,3.2456035423525498e-06,0.2475,100
2022-03-18,2022-03-21,2022-03-25,2.4653937361673414e-06,7.553284851430978e-05,3.152279805106615e-06,0.2475,100
2022-03-25,2022-03-28,2022-04-01,2.46044762612478e-06,7.0962338658646e-05,3.1145150268386538e-06,0.2475,100
2022-04-01,2022-04-04,2022-04-08,2.4131749785864e-06,7.523041427992625e-05,3.0689411806821443e-06,0.2475,100
2022-04-08,2022-04-11,2022-04-18,2.3312213046932355e-06,7.781940518573689e-05,3.068624972346773e-06,0.2475,100
2022-04-18,2022-04-19,2022-04-25,2.3906498163262156e-06,7.405521984167322e-05,3.0644953239868024e-06,0.2475,100
2022-04-25,2022-04-26,2022-05-02,2.4329701365557293e-06,6.599682207698604e-05,3.1443039959715132e-06,0.2475,100
2022-05-02,2022-05-03,2022-05-09,2.3442475312830404e-06,4.3343033601348403e-05,3.1694467379260896e-06,0.2475,100
2022-05-09,2022-05-10,2022-05-16,2.319945869127704e-06,4.8600488460303986e-05,3.165192545124738e-06,0.2475,100
2022-05-16,2022-05-17,2022-05-23,2.260323581983825e-06,3.827623705366872e-05,3.0188757198170862e-06,0.2475,100
2022-05-23,2022-05-24,2022-05-31,2.282719115834429e-06,3.5956249734902015e-05,3.0457055881802087e-06,0.2475,100
2022-05-31,2022-06-01,2022-06-07,2.2869859825723474e-06,3.825383660911169e-05,3.069843674959062e-06,0.2475,100
